"timebin","purpose","freq_stop","freq_trip"
2,"imain",28824.8571114124,173199.581579559
3,"imain",66484.3294251107,281508.943743277
4,"imain",106448.557412369,304887.264711115
5,"imain",118601.930714358,293830.841242937
6,"imain",125386.013011619,264850.043192371
7,"imain",150520.448380964,330207.991034003
8,"imain",182296.574328503,348199.31196343
9,"imain",162080.329257715,307108.669827293
1,"jdisc",0,1871.42336942148
10,"jdisc",3867.39581225209,14177.2624080991
11,"jdisc",3246.29796353976,12430.2248614968
12,"jdisc",2561.3245759552,18648.5899449779
13,"jdisc",5507.75622631877,25591.3746074669
14,"jdisc",8158.31924645385,29520.8556094982
15,"jdisc",3673.71141418258,23140.4304390562
16,"jdisc",1963.25942810269,11278.6055714524
17,"jdisc",934.476011531313,2624.74778382749
18,"jdisc",37.7866205365039,2567.98122553501
19,"jdisc",312.041100239741,616.864951306528
2,"jdisc",814.442095504365,3216.52988139467
3,"jdisc",452.904626705316,7295.85307121961
4,"jdisc",1102.59834917331,7758.37952332317
5,"jdisc",2104.34578523456,10731.2450478898
6,"jdisc",2671.50294672836,16929.7276815204
7,"jdisc",4815.93564278645,18276.1662369358
8,"jdisc",4824.84596895754,12564.9820162214
9,"jdisc",3871.82366025911,9897.36390923666
1,"jmain",0,191.160850557816
10,"jmain",18068.1609057752,26409.4879650627
11,"jmain",5589.05335994201,15443.7391780489
12,"jmain",5336.47729893791,15193.1219707859
13,"jmain",7910.90558537458,17918.7319603633
14,"jmain",4450.34969019388,14594.3876479575
15,"jmain",3749.85811364035,14947.3318000846
16,"jmain",3252.84387337139,10644.0714591353
17,"jmain",424.151288972688,2887.3722258539
18,"jmain",246.183760943313,138.09147750007
19,"jmain",24.3911879837148,81.8675269956287
2,"jmain",28.9401556865108,4327.26544404926
3,"jmain",1227.35825819679,4343.41581476158
4,"jmain",6976.3419735683,19437.8680344709
5,"jmain",17901.6452191804,32484.47992056
6,"jmain",11700.487281564,27414.1699672126
7,"jmain",9869.14481491656,28160.8021028678
8,"jmain",11303.0104382484,27690.1237017795
9,"jmain",11670.2472536324,25086.9014532691
1,"sch",601.274653299743,16160.7771328538
10,"sch",7879.42511382804,89756.5994121221
11,"sch",24659.0155884205,105461.837899575
12,"sch",28366.6616845712,89416.4309352759
13,"sch",14030.9020475601,57563.2691563504
14,"sch",11205.8457445162,20954.4652765676
15,"sch",11017.6932872054,15849.1521158371
16,"sch",4307.22542733434,8450.34783126474
17,"sch",2093.90941843774,3796.90139448355
18,"sch",0,11.7269544994824
19,"sch",482.95397788279,1533.70929746923
2,"sch",6691.72352802473,73412.5752887416
3,"sch",8285.89188515009,124023.470567272
4,"sch",7840.019234991,75157.9845757709
5,"sch",2179.28638692493,19158.0620996616
6,"sch",1343.67380608756,6871.81314436415
7,"sch",2994.36657769788,11333.0202253169
8,"sch",5552.98140736208,12013.6002333875
9,"sch",6691.5647403061,39904.2075824635
1,"univ",0,1273.08849701349
10,"univ",1141.61745606796,6147.32666928389
11,"univ",1315.22086469941,4234.81217809449
12,"univ",956.506974611962,2613.94297753493
13,"univ",3262.39919543128,5408.82432211132
14,"univ",2044.6926304107,3387.39434821033
15,"univ",1871.22551139388,3356.78285613186
16,"univ",1005.0844854952,2173.35720977647
17,"univ",2164.83228150658,2918.04613593482
18,"univ",661.591004509957,753.451609822612
19,"univ",0,15.2860698181109
2,"univ",1887.60191882622,9065.02850166698
3,"univ",1144.23831628886,7707.83484904927
4,"univ",264.608154511396,6144.02900484535
5,"univ",659.086473816812,2071.84900013478
6,"univ",577.599908232693,4202.14676689515
7,"univ",4101.85707757232,9343.56317994369
8,"univ",6630.02783800784,10562.4658641089
9,"univ",5231.57175382323,9425.57803074885
1,"work",15280.8944771192,201293.297175695
10,"work",61224.3640289371,174397.2709243
11,"work",98615.1288302839,312075.293598401
12,"work",172632.652933602,387176.423150631
13,"work",132222.346526436,264267.768384527
14,"work",86253.8766163445,133767.595580955
15,"work",53666.745572279,78465.0357752859
16,"work",26452.352641569,44545.1613106856
17,"work",15232.1363157464,35034.8318392199
18,"work",4620.74982516848,18400.0346988621
19,"work",3924.13624349061,24247.7972577504
2,"work",39771.4975918375,253459.304080856
3,"work",74425.7351143578,307745.712580982
4,"work",55262.4399044273,175091.306726548
5,"work",34006.3717547669,85598.2209677452
6,"work",21082.4852192199,61756.4008779537
7,"work",35941.0828618562,84960.2147062562
8,"work",48650.8701316456,105766.170305698
9,"work",44824.666784584,117536.084631325
1,"Total",37893.1753536304,404737.121630085
10,"Total",387849.058179095,983378.922149804
11,"Total",462183.241158853,1208134.90761682
12,"Total",580876.340425965,1366916.36469405
13,"Total",479752.130653772,1139400.27753279
14,"Total",366329.540276756,816046.115551269
15,"Total",258868.540967834,567742.487497239
16,"Total",184664.639829625,409113.125643221
17,"Total",101210.392533924,223113.952006222
18,"Total",42983.1635597149,103138.773275494
19,"Total",31239.4700701119,104721.277679968
2,"Total",93723.2477117905,676164.330355712
3,"Total",204435.398377383,1041721.13356372
4,"Total",253898.983904318,901472.304056408
5,"Total",264396.519032625,721998.968169537
6,"Total",248061.370647494,635119.189787089
7,"Total",318646.121276263,829926.478648002
8,"Total",368539.713772058,859140.400662481
9,"Total",354559.678138835,800995.203519333
