"id","purpose","freq_stop","freq_trip"
47,"imain",52,150
48,"imain",19,93
5,"imain",74,214
6,"imain",143,387
7,"imain",258,674
8,"imain",498,1281
9,"imain",740,2055
1,"jdisc",3,41
10,"jdisc",21,112
11,"jdisc",27,116
12,"jdisc",27,206
13,"jdisc",35,171
14,"jdisc",33,172
15,"jdisc",32,185
16,"jdisc",27,169
17,"jdisc",44,226
18,"jdisc",26,224
19,"jdisc",39,199
2,"jdisc",8,58
20,"jdisc",33,197
21,"jdisc",35,236
22,"jdisc",23,190
23,"jdisc",27,193
24,"jdisc",28,207
25,"jdisc",45,272
26,"jdisc",35,281
27,"jdisc",45,373
28,"jdisc",74,523
29,"jdisc",132,686
3,"jdisc",22,74
30,"jdisc",158,1167
31,"jdisc",221,1379
32,"jdisc",264,1479
33,"jdisc",359,1591
34,"jdisc",205,1516
35,"jdisc",270,1183
36,"jdisc",233,1265
37,"jdisc",100,1026
38,"jdisc",113,575
39,"jdisc",61,393
4,"jdisc",21,98
40,"jdisc",34,248
41,"jdisc",18,139
42,"jdisc",17,80
43,"jdisc",17,60
44,"jdisc",4,37
45,"jdisc",11,33
46,"jdisc",1,12
47,"jdisc",4,17
48,"jdisc",0,1
5,"jdisc",35,137
6,"jdisc",40,155
7,"jdisc",46,177
8,"jdisc",37,178
9,"jdisc",33,166
1,"jmain",0,4
10,"jmain",31,121
11,"jmain",36,151
12,"jmain",50,222
13,"jmain",60,262
14,"jmain",72,304
15,"jmain",79,375
16,"jmain",104,416
17,"jmain",113,451
18,"jmain",99,376
19,"jmain",110,429
2,"jmain",1,3
20,"jmain",111,435
21,"jmain",134,488
22,"jmain",133,448
23,"jmain",94,464
24,"jmain",94,376
25,"jmain",107,471
26,"jmain",114,573
27,"jmain",167,619
28,"jmain",199,715
29,"jmain",230,941
3,"jmain",2,8
30,"jmain",218,864
31,"jmain",262,940
32,"jmain",140,810
33,"jmain",142,564
34,"jmain",114,540
35,"jmain",119,498
36,"jmain",172,536
37,"jmain",171,589
38,"jmain",101,596
39,"jmain",83,405
4,"jmain",4,17
40,"jmain",75,285
41,"jmain",43,214
42,"jmain",59,158
43,"jmain",46,129
44,"jmain",31,100
45,"jmain",16,52
46,"jmain",14,51
47,"jmain",12,43
48,"jmain",2,25
5,"jmain",5,21
6,"jmain",5,27
7,"jmain",9,43
8,"jmain",27,82
9,"jmain",18,83
1,"sch",0,6
10,"sch",3513,7478
11,"sch",3410,7382
12,"sch",1830,3138
13,"sch",362,1045
14,"sch",127,467
15,"sch",195,460
16,"sch",306,695
17,"sch",39,131
18,"sch",44,118
19,"sch",124,277
2,"sch",1,4
20,"sch",328,554
21,"sch",688,871
22,"sch",758,2435
23,"sch",1481,3548
24,"sch",1448,4734
25,"sch",1928,8389
26,"sch",1720,7392
27,"sch",1879,8528
28,"sch",1118,3962
29,"sch",876,2969
3,"sch",3,8
30,"sch",488,2209
31,"sch",513,1823
32,"sch",303,1205
33,"sch",177,708
34,"sch",121,471
35,"sch",81,295
36,"sch",46,189
37,"sch",95,190
38,"sch",35,98
39,"sch",22,64
4,"sch",3,6
40,"sch",5,30
41,"sch",10,28
42,"sch",6,16
43,"sch",3,12
44,"sch",3,9
45,"sch",0,1
46,"sch",0,0
47,"sch",5,8
48,"sch",0,1
5,"sch",2,2
6,"sch",0,1
7,"sch",109,392
8,"sch",2240,6448
9,"sch",4762,13562
1,"univ",4,10
10,"univ",288,691
11,"univ",404,1099
12,"univ",318,724
13,"univ",269,715
14,"univ",354,771
15,"univ",347,720
16,"univ",199,524
17,"univ",322,804
18,"univ",215,546
19,"univ",350,909
2,"univ",6,17
20,"univ",374,973
21,"univ",339,778
22,"univ",377,857
23,"univ",264,828
24,"univ",121,601
25,"univ",503,1152
26,"univ",251,1170
27,"univ",438,1260
28,"univ",324,867
29,"univ",279,998
3,"univ",10,19
30,"univ",285,976
31,"univ",242,901
32,"univ",195,903
33,"univ",215,808
34,"univ",372,926
35,"univ",237,740
36,"univ",280,751
37,"univ",265,731
38,"univ",221,596
39,"univ",210,556
4,"univ",7,16
40,"univ",188,539
41,"univ",157,436
42,"univ",91,336
43,"univ",45,235
44,"univ",159,371
45,"univ",103,239
46,"univ",82,226
47,"univ",131,256
48,"univ",4,125
5,"univ",10,29
6,"univ",30,79
7,"univ",76,192
8,"univ",134,388
9,"univ",410,1159
1,"work",127,479
10,"work",2939,15355
11,"work",4365,12684
12,"work",3109,8323
13,"work",1959,5273
14,"work",1473,3559
15,"work",919,2421
16,"work",1210,2621
17,"work",1617,3415
18,"work",2131,4341
19,"work",2649,4998
2,"work",236,910
20,"work",2020,4343
21,"work",1697,3463
22,"work",1849,3948
23,"work",2092,4422
24,"work",2663,5951
25,"work",2430,7465
26,"work",2312,9089
27,"work",2520,10630
28,"work",1875,11910
29,"work",2698,15409
3,"work",361,1179
30,"work",2003,13049
31,"work",1088,10341
32,"work",1478,7710
33,"work",862,5171
34,"work",945,5029
35,"work",1029,4395
36,"work",1128,3741
37,"work",956,2936
