"","taz","freq"
"263",263,218
"264",264,1270
"265",265,387
"266",266,217
"267",267,302
"268",268,1620
"269",269,397
"270",270,2137
"271",271,720
"272",272,9
"273",273,1209
"274",274,422
"275",275,672
"276",276,444
"277",277,392
"278",278,569
"279",279,4
"280",280,160
"281",281,0
"282",282,82
"283",283,643
"284",284,685
"285",285,8
"286",286,7
"287",287,127
"288",288,9
"289",289,16
"290",290,5
"291",291,59
"292",292,427
"293",293,205
"294",294,19
"295",295,145
"296",296,28
"297",297,4
"298",298,35
"299",299,26
"300",300,35
"301",301,28
"302",302,19
"303",303,7
"304",304,35
"305",305,28
"306",306,17
"307",307,8
"308",308,3
"309",309,8
"310",310,29
"311",311,83
"312",312,3
"313",313,45
"314",314,280
"315",315,464
"316",316,29
"317",317,0
"318",318,358
"319",319,58
"320",320,45
"321",321,17
"322",322,24
"323",323,12
"324",324,2998
"325",325,748
"326",326,343
"327",327,55
"328",328,131
"329",329,10
"330",330,2
"331",331,3
"332",332,0
"333",333,26
"334",334,17
"335",335,0
"336",336,45
"337",337,575
"338",338,1617
"339",339,116
"340",340,40
"341",341,73
"342",342,212
"343",343,3
"344",344,247
"345",345,185
"346",346,0
"347",347,16
"348",348,32
"349",349,8
"350",350,9
"351",351,0
"352",352,9
"353",353,85
"354",354,47
"355",355,124
"356",356,13
"357",357,0
"358",358,94
"359",359,6
"360",360,129
"361",361,672
"362",362,43
"363",363,2
"364",364,227
"365",365,104
"366",366,145
"367",367,404
"368",368,54
"369",369,862
"370",370,98
"371",371,228
"372",372,599
"373",373,6
"374",374,9
"375",375,245
"376",376,109
"377",377,2638
"378",378,2601
"379",379,4048
"380",380,294
"381",381,886
"382",382,1702
"383",383,79
"384",384,44
"385",385,60
"386",386,142
"387",387,84
"388",388,2183
"389",389,1066
"390",390,245
"391",391,96
"392",392,2498
"393",393,761
"394",394,2364
"395",395,47
"396",396,303
"397",397,58
"398",398,67
"399",399,28
"400",400,34
"401",401,212
"402",402,314
"403",403,65
"404",404,98
"405",405,7
"406",406,3
"407",407,625
"408",408,17
"409",409,981
"410",410,5303
"411",411,2060
"412",412,789
"413",413,486
"414",414,74
"415",415,4
"416",416,3
"417",417,1673
"418",418,694
"419",419,58
"420",420,23
"421",421,806
"422",422,487
"423",423,219
"424",424,99
"425",425,284
"426",426,620
"427",427,28
"428",428,4
"429",429,348
"430",430,210
"431",431,268
"432",432,594
"433",433,100
"434",434,54
"435",435,6
"436",436,6
"437",437,252
"438",438,1982
"439",439,521
"440",440,343
"441",441,828
"442",442,7
"443",443,270
"444",444,495
"445",445,3273
"446",446,460
"447",447,356
"448",448,427
"449",449,371
"450",450,1480
"451",451,74
"452",452,97
"453",453,91
"454",454,581
"455",455,154
"456",456,1401
"457",457,187
"458",458,123
"459",459,252
"460",460,39
"461",461,191
"462",462,794
"463",463,47
"464",464,189
"465",465,332
"466",466,565
"467",467,142
"468",468,18
"469",469,0
"470",470,81
"471",471,10
"472",472,5672
"473",473,2956
"474",474,1433
"475",475,7497
"476",476,387
"477",477,1009
"478",478,1554
"479",479,162
"480",480,4370
"481",481,1286
"482",482,745
"483",483,1457
"484",484,1149
"485",485,763
"486",486,1207
"487",487,1758
"488",488,961
"489",489,326
"490",490,143
"491",491,0
"492",492,31
"493",493,46
"494",494,2034
"495",495,6456
"496",496,139
"497",497,821
"498",498,931
"499",499,395
"500",500,318
"501",501,888
"502",502,63
"503",503,19
"504",504,7
"505",505,325
"506",506,360
"507",507,24
"508",508,6
"509",509,109
"510",510,69
"511",511,119
"512",512,5
"513",513,62
"514",514,547
"515",515,22
"516",516,139
"517",517,76
"518",518,7
"519",519,35
"520",520,0
"521",521,131
"522",522,77
"523",523,207
"524",524,750
"525",525,235
"526",526,18
"527",527,418
"528",528,16
"529",529,209
"530",530,948
"531",531,253
"532",532,564
"533",533,575
"534",534,8
"535",535,75
"536",536,101
"537",537,5
"538",538,238
"539",539,245
"540",540,109
"541",541,287
"542",542,31
"543",543,209
"544",544,1761
"545",545,248
"546",546,1518
"547",547,889
"548",548,535
"549",549,1254
"550",550,1906
"551",551,111
"552",552,348
"553",553,133
"554",554,133
"555",555,1070
"556",556,111
"557",557,132
"558",558,16
"559",559,675
"560",560,144
"561",561,3322
"562",562,1279
"563",563,474
"564",564,1884
"565",565,450
"566",566,622
"567",567,113
"568",568,97
"569",569,16
"570",570,782
"571",571,732
"572",572,192
"573",573,559
"574",574,1291
"575",575,2107
"576",576,1336
"577",577,3210
"578",578,1226
"579",579,732
"580",580,9
"581",581,123
"582",582,469
"583",583,172
"584",584,24
"585",585,9
"586",586,100
"587",587,564
"588",588,119
"589",589,10
"590",590,325
"591",591,113
"592",592,595
"593",593,1608
"594",594,241
"595",595,183
"596",596,219
"597",597,20
"598",598,579
"599",599,64
"600",600,30
"601",601,59
"602",602,109
"603",603,55
"604",604,3
"605",605,160
"606",606,50
"607",607,380
"608",608,2132
"609",609,234
"610",610,1421
"611",611,2847
"612",612,1400
"613",613,594
"614",614,21
"615",615,118
"616",616,330
"617",617,389
"618",618,17
"619",619,539
"620",620,518
"621",621,71
"622",622,103
"623",623,1
"624",624,1
"625",625,0
"626",626,124
"627",627,30
"628",628,9
"629",629,1
"630",630,248
"631",631,471
"632",632,390
"633",633,258
"634",634,697
"635",635,494
"636",636,46
"637",637,65
"638",638,0
"639",639,285
"640",640,597
"641",641,1524
"642",642,169
"643",643,620
"644",644,361
"645",645,8
"646",646,75
"647",647,294
"648",648,17
"649",649,9
"650",650,176
"651",651,136
"652",652,53
"653",653,150
"654",654,21
"655",655,209
"656",656,36
"657",657,247
"658",658,471
"659",659,575
"660",660,768
"661",661,46
"662",662,484
"663",663,553
"664",664,1071
"665",665,442
"666",666,79
"667",667,365
"668",668,12
"669",669,52
"670",670,86
"671",671,91
"672",672,237
"673",673,16
"674",674,474
"675",675,23
"676",676,310
"677",677,848
"678",678,144
"679",679,42
"680",680,153
"681",681,742
"682",682,2
"683",683,108
"684",684,4
"685",685,0
"686",686,33
"687",687,379
"688",688,1079
"689",689,38
"690",690,627
"691",691,1368
"692",692,96
"693",693,2408
"694",694,16
"695",695,191
"696",696,17
"697",697,290
"698",698,139
"699",699,13
"700",700,66
"701",701,16
"702",702,15
"703",703,724
"704",704,38
"705",705,740
"706",706,36
"707",707,28
"708",708,330
"709",709,59
"710",710,16
"711",711,189
"712",712,46
"713",713,526
"714",714,1
"715",715,32
"716",716,74
"717",717,64
"718",718,0
"719",719,6
"720",720,3
"721",721,38
"722",722,294
"723",723,950
"724",724,2599
"725",725,157
"726",726,357
"727",727,741
"728",728,104
"729",729,49
"730",730,9
"731",731,81
"732",732,0
"733",733,1
"734",734,0
"735",735,98
"736",736,117
"737",737,104
"738",738,46
"739",739,2
"740",740,83
"741",741,12
"742",742,108
"743",743,102
"744",744,5
"745",745,30
"746",746,38
"747",747,102
"748",748,9
"749",749,38
"750",750,23
"751",751,0
"752",752,103
"753",753,121
"754",754,111
"755",755,22
"756",756,10
"757",757,561
"758",758,52
"759",759,12
"760",760,176
"761",761,150
"762",762,256
"763",763,32
"764",764,346
"765",765,174
"766",766,713
"767",767,485
"768",768,228
"769",769,1136
"770",770,1343
"771",771,5
"772",772,713
"773",773,669
"774",774,1309
"775",775,20
"776",776,14
"777",777,162
"778",778,63
"779",779,68
"780",780,24
"781",781,157
"782",782,25
"783",783,29
"784",784,107
"785",785,34
"786",786,90
"787",787,23
"788",788,0
"789",789,21
"790",790,64
"791",791,560
"792",792,670
"793",793,96
"794",794,1087
"795",795,587
"796",796,2224
"797",797,1908
"798",798,1189
"799",799,333
"800",800,801
"801",801,79
"802",802,25
"803",803,25
"804",804,22
"805",805,0
"806",806,1
"807",807,367
"808",808,323
"809",809,2
"810",810,60
"811",811,34
"812",812,229
"813",813,13
"814",814,21
"815",815,5
"816",816,81
"817",817,1379
"818",818,578
"819",819,348
"820",820,306
"821",821,350
"822",822,59
"823",823,42
"824",824,59
"825",825,53
"826",826,413
"827",827,30
"828",828,0
"829",829,20
"830",830,156
"831",831,1150
"832",832,108
"833",833,12
"834",834,81
"835",835,263
"836",836,433
"837",837,149
"838",838,1097
"839",839,217
"840",840,3489
"841",841,626
"842",842,75
"843",843,355
"844",844,2585
"845",845,0
"846",846,5
"847",847,77
"848",848,100
"849",849,264
"850",850,39
"851",851,806
"852",852,805
"853",853,2521
"854",854,1100
"855",855,710
"856",856,2212
"857",857,2976
"858",858,1777
"859",859,1235
"860",860,1105
"861",861,617
"862",862,154
"863",863,1573
"864",864,31
"865",865,162
"866",866,505
"867",867,5
"868",868,1324
"869",869,1666
"870",870,87
"871",871,383
"872",872,620
"873",873,2173
"874",874,18
"875",875,299
"876",876,85
"877",877,235
"878",878,83
"879",879,177
"880",880,5642
"881",881,211
"882",882,1217
"883",883,468
"884",884,169
"885",885,9
"886",886,1905
"887",887,1962
"888",888,1203
"889",889,885
"890",890,125
"891",891,254
"892",892,71
"893",893,431
"894",894,22
"895",895,35
"896",896,47
"897",897,41
"898",898,45
"899",899,457
"900",900,146
"901",901,103
"902",902,20
"903",903,58
"904",904,484
"905",905,122
"906",906,46
"907",907,6
"908",908,31
"909",909,152
"910",910,125
"911",911,397
"912",912,1231
"913",913,1983
"914",914,717
"915",915,444
"916",916,45
"917",917,17
"918",918,12
"919",919,1215
"920",920,48
"921",921,258
"922",922,360
"923",923,794
"924",924,51
"925",925,18
"926",926,233
"927",927,357
"928",928,198
"929",929,28
"930",930,21
"931",931,53
"932",932,18
"933",933,2
"934",934,446
"935",935,2
"936",936,0
"937",937,333
"938",938,80
"939",939,100
"940",940,20
"941",941,480
"942",942,5
"943",943,51
"944",944,76
"945",945,95
"946",946,120
"947",947,83
"948",948,28
"949",949,82
"950",950,382
"951",951,226
"952",952,129
"953",953,74
"954",954,46
"955",955,8
"956",956,378
"957",957,174
"958",958,1133
"959",959,199
"960",960,224
"961",961,317
"962",962,577
"963",963,1731
"964",964,79
"965",965,120
"966",966,1018
"967",967,578
"968",968,367
"969",969,164
"970",970,320
"971",971,55
"972",972,1283
"973",973,166
"974",974,879
"975",975,1274
"976",976,4
"977",977,587
"978",978,269
"979",979,138
"980",980,479
"981",981,164
"982",982,184
"983",983,88
"984",984,18
"985",985,215
"986",986,1419
"987",987,110
"988",988,563
"989",989,334
"990",990,91
"991",991,1999
"992",992,997
"993",993,1384
"994",994,8
"995",995,337
"996",996,1857
"997",997,4130
"998",998,49
"999",999,82
"1000",1000,194
"1001",1001,323
"1002",1002,227
"1003",1003,143
"1004",1004,107
"1005",1005,73
"1006",1006,13
"1007",1007,145
"1008",1008,188
"1009",1009,947
"1010",1010,642
"1011",1011,3024
"1012",1012,3313
"1013",1013,1381
"1014",1014,2261
"1015",1015,19
"1016",1016,54
"1017",1017,229
"1018",1018,1795
"1019",1019,77
"1020",1020,13
"1021",1021,2924
"1022",1022,7749
"1023",1023,4832
"1024",1024,299
"1025",1025,786
"1026",1026,2585
"1027",1027,405
"1028",1028,4840
"1029",1029,132
"1030",1030,899
"1031",1031,57
"1032",1032,266
"1033",1033,385
"1034",1034,613
"1035",1035,12
"1036",1036,25
"1037",1037,569
"1038",1038,694
"1039",1039,81
"1040",1040,500
"1041",1041,1259
"1042",1042,2716
"1043",1043,1548
"1044",1044,1936
"1045",1045,2690
"1046",1046,1980
"1047",1047,2725
"1048",1048,1901
"1049",1049,5724
"1050",1050,5125
"1051",1051,616
"1052",1052,554
"1053",1053,1098
"1054",1054,2309
"1055",1055,309
"1056",1056,1389
"1057",1057,188
"1058",1058,2094
"1059",1059,42
"1060",1060,17
"1061",1061,913
"1062",1062,20
"1063",1063,892
"1064",1064,71
"1065",1065,2224
"1066",1066,2749
"1067",1067,1727
"1068",1068,608
"1069",1069,1921
"1070",1070,4111
"1071",1071,546
"1072",1072,2158
"1073",1073,727
"1074",1074,1263
"1075",1075,1903
"1076",1076,659
"1077",1077,591
"1078",1078,433
"1079",1079,151
"1080",1080,991
"1081",1081,152
"1082",1082,74
"1083",1083,41
"1084",1084,29
"1085",1085,85
"1086",1086,65
"1087",1087,167
"1088",1088,238
"1089",1089,106
"1090",1090,1013
"1091",1091,19
"1092",1092,3081
"1093",1093,17
"1094",1094,123
"1095",1095,259
"1096",1096,96
"1097",1097,5
"1098",1098,65
"1099",1099,123
"1100",1100,148
"1101",1101,2585
"1102",1102,635
"1103",1103,445
"1104",1104,481
"1105",1105,1376
"1106",1106,967
"1107",1107,190
"1108",1108,316
"1109",1109,331
"1110",1110,70
"1111",1111,852
"1112",1112,498
"1113",1113,210
"1114",1114,201
"1115",1115,1271
"1116",1116,326
"1117",1117,828
"1118",1118,587
"1119",1119,682
"1120",1120,1198
"1121",1121,1310
"1122",1122,414
"1123",1123,240
"1124",1124,54
"1125",1125,46
"1126",1126,16
"1127",1127,126
"1128",1128,93
"1129",1129,812
"1130",1130,845
"1131",1131,61
"1132",1132,81
"1133",1133,97
"1134",1134,1898
"1135",1135,145
"1136",1136,191
"1137",1137,1386
"1138",1138,47
"1139",1139,122
"1140",1140,101
"1141",1141,246
"1142",1142,885
"1143",1143,535
"1144",1144,1228
"1145",1145,2721
"1146",1146,200
"1147",1147,288
"1148",1148,508
"1149",1149,2176
"1150",1150,3140
"1151",1151,5210
"1152",1152,31
"1153",1153,1413
"1154",1154,212
"1155",1155,3100
"1156",1156,1805
"1157",1157,308
"1158",1158,75
"1159",1159,3060
"1160",1160,2401
"1161",1161,19
"1162",1162,521
"1163",1163,4067
"1164",1164,330
"1165",1165,4170
"1166",1166,32
"1167",1167,159
"1168",1168,674
"1169",1169,1014
"1170",1170,22
"1171",1171,434
"1172",1172,53
"1173",1173,137
"1174",1174,401
"1175",1175,209
"1176",1176,211
"1177",1177,578
"1178",1178,891
"1179",1179,7
"1180",1180,47
"1181",1181,120
"1182",1182,187
"1183",1183,66
"1184",1184,62
"1185",1185,63
"1186",1186,26
"1187",1187,33
"1188",1188,197
"1189",1189,403
"1190",1190,339
"1191",1191,4
"1192",1192,88
"1193",1193,113
"1194",1194,8
"1195",1195,221
"1196",1196,23
"1197",1197,13
"1198",1198,161
"1199",1199,175
"1200",1200,1102
"1201",1201,18
"1202",1202,28
"1203",1203,6
"1204",1204,100
"1205",1205,808
"1206",1206,123
"1207",1207,8
"1208",1208,3
"1209",1209,140
"1210",1210,468
"1211",1211,1165
"1212",1212,992
"1213",1213,1027
"1214",1214,1035
"1215",1215,622
"1216",1216,161
"1217",1217,1412
"1218",1218,953
"1219",1219,242
"1220",1220,337
"1221",1221,318
"1222",1222,135
"1223",1223,889
"1224",1224,2257
"1225",1225,109
"1226",1226,446
"1227",1227,817
"1228",1228,1015
"1229",1229,288
"1230",1230,670
"1231",1231,264
"1232",1232,64
"1233",1233,464
"1234",1234,1093
"1235",1235,132
"1236",1236,60
"1237",1237,1343
"1238",1238,791
"1239",1239,1073
"1240",1240,995
"1241",1241,952
"1242",1242,610
"1243",1243,473
"1244",1244,162
"1245",1245,549
"1246",1246,470
"1247",1247,1194
"1248",1248,145
"1249",1249,23
"1250",1250,43
"1251",1251,378
"1252",1252,262
"1253",1253,560
"1254",1254,758
"1255",1255,270
"1256",1256,181
"1257",1257,33
"1258",1258,66
"1259",1259,32
"1260",1260,210
"1261",1261,126
"1262",1262,12
"1263",1263,348
"1264",1264,1264
"1265",1265,984
"1266",1266,124
"1267",1267,2025
"1268",1268,535
"1269",1269,5323
"1270",1270,593
"1271",1271,6099
"1272",1272,719
"1273",1273,824
"1274",1274,81
"1275",1275,543
"1276",1276,2823
"1277",1277,1803
"1278",1278,266
"1279",1279,4818
"1280",1280,664
"1281",1281,17276
"1282",1282,535
"1283",1283,548
"1284",1284,351
"1285",1285,354
"1286",1286,839
"1287",1287,61
"1288",1288,312
"1289",1289,119
"1290",1290,311
"1291",1291,248
"1292",1292,545
"1293",1293,1228
"1294",1294,1462
"1295",1295,1090
"1296",1296,3717
"1297",1297,1057
"1298",1298,6588
"1299",1299,319
"1300",1300,399
"1301",1301,571
"1302",1302,5168
"1303",1303,163
"1304",1304,660
"1305",1305,183
"1306",1306,5731
"1307",1307,4084
"1308",1308,1430
"1309",1309,3361
"1310",1310,1193
"1311",1311,474
"1312",1312,1446
"1313",1313,2437
"1314",1314,2217
"1315",1315,9858
"1316",1316,8996
"1317",1317,7802
"1318",1318,1409
"1319",1319,3369
"1320",1320,2804
"1321",1321,3135
"1322",1322,2904
"1323",1323,3194
"1324",1324,3874
"1325",1325,6124
"1326",1326,1594
"1327",1327,6005
"1328",1328,12662
"1329",1329,21354
"1330",1330,22671
"1331",1331,7767
"1332",1332,3080
"1333",1333,786
"1334",1334,544
"1335",1335,838
"1336",1336,315
"1337",1337,1732
"1338",1338,543
"1339",1339,1704
"1340",1340,451
"1341",1341,9
"1342",1342,24
"1343",1343,135
"1344",1344,201
"1345",1345,382
"1346",1346,588
"1347",1347,1286
"1348",1348,1386
"1349",1349,297
"1350",1350,536
"1351",1351,519
"1352",1352,188
"1353",1353,537
"1354",1354,1785
"1355",1355,672
"1356",1356,1089
"1357",1357,333
"1358",1358,715
"1359",1359,739
"1360",1360,344
"1361",1361,693
"1362",1362,875
"1363",1363,428
"1364",1364,347
"1365",1365,249
"1366",1366,1473
"1367",1367,1122
"1368",1368,358
"1369",1369,21
"1370",1370,1
"1371",1371,1427
"1372",1372,306
"1373",1373,165
"1374",1374,262
"1375",1375,385
"1376",1376,5908
"1377",1377,3888
"1378",1378,1414
"1379",1379,951
"1380",1380,178
"1381",1381,746
"1382",1382,11
"1383",1383,426
"1384",1384,1220
"1385",1385,8
"1386",1386,85
"1387",1387,620
"1388",1388,2060
"1389",1389,119
"1390",1390,944
"1391",1391,250
"1392",1392,333
"1393",1393,534
"1394",1394,1163
"1395",1395,490
"1396",1396,1102
"1397",1397,37
"1398",1398,598
"1399",1399,4129
"1400",1400,709
"1401",1401,6501
"1402",1402,238
"1403",1403,45
"1404",1404,196
"1405",1405,1483
"1406",1406,366
"1407",1407,2955
"1408",1408,1427
"1409",1409,438
"1410",1410,412
"1411",1411,1504
"1412",1412,46
"1413",1413,936
"1414",1414,13
"1415",1415,1864
"1416",1416,2414
"1417",1417,11639
"1418",1418,50
"1419",1419,40
"1420",1420,14
"1421",1421,10
"1422",1422,399
"1423",1423,231
"1424",1424,48
"1425",1425,51
"1426",1426,515
"1427",1427,1328
"1428",1428,862
"1429",1429,1000
"1430",1430,45
"1431",1431,119
"1432",1432,15
"1433",1433,87
"1434",1434,184
"1435",1435,32
"1436",1436,550
"1437",1437,103
"1438",1438,803
"1439",1439,288
"1440",1440,35
"1441",1441,114
"1442",1442,96
"1443",1443,346
"1444",1444,63
"1445",1445,2320
"1446",1446,262
"1447",1447,186
"1448",1448,688
"1449",1449,8
"1450",1450,19
"1451",1451,120
"1452",1452,104
"1453",1453,451
"1454",1454,76
"1455",1455,275
"1456",1456,224
"1457",1457,54
"1458",1458,300
"1459",1459,967
"1460",1460,79
"1461",1461,188
"1462",1462,48
"1463",1463,290
"1464",1464,154
"1465",1465,1232
"1466",1466,660
"1467",1467,732
"1468",1468,420
"1469",1469,220
"1470",1470,266
"1471",1471,260
"1472",1472,450
"1473",1473,617
"1474",1474,62
"1475",1475,220
"1476",1476,86
"1477",1477,130
"1478",1478,13
"1479",1479,143
"1480",1480,300
"1481",1481,53
"1482",1482,522
"1483",1483,188
"1484",1484,32
"1485",1485,71
"1486",1486,62
"1487",1487,175
"1488",1488,90
"1489",1489,306
"1490",1490,311
"1491",1491,38
"1492",1492,178
"1493",1493,7
"1494",1494,13
"1495",1495,40
"1496",1496,15
"1497",1497,67
"1498",1498,382
"1499",1499,89
"1500",1500,195
"1501",1501,260
"1502",1502,3922
"1503",1503,27
"1504",1504,231
"1505",1505,151
"1506",1506,67
"1507",1507,42
"1508",1508,153
"1509",1509,187
"1510",1510,140
"1511",1511,791
"1512",1512,85
"1513",1513,184
"1514",1514,151
"1515",1515,96
"1516",1516,214
"1517",1517,261
"1518",1518,752
"1519",1519,151
"1520",1520,1543
"1521",1521,13495
"1522",1522,2604
"1523",1523,1863
"1524",1524,1415
"1525",1525,119
"1526",1526,2950
"1527",1527,4292
"1528",1528,2400
"1529",1529,338
"1530",1530,5628
"1531",1531,6143
"1532",1532,853
"1533",1533,1433
"1534",1534,12
"1535",1535,733
"1536",1536,1848
"1537",1537,2577
"1538",1538,303
"1539",1539,31
"1540",1540,78
"1541",1541,304
"1542",1542,355
"1543",1543,9
"1544",1544,177
"1545",1545,1777
"1546",1546,179
"1547",1547,75
"1548",1548,1121
"1549",1549,10
"1550",1550,839
"1551",1551,1144
"1552",1552,118
"1553",1553,1363
"1554",1554,631
"1555",1555,537
"1556",1556,489
"1557",1557,692
"1558",1558,1413
"1559",1559,1115
"1560",1560,378
"1561",1561,187
"1562",1562,482
"1563",1563,360
"1564",1564,2610
"1565",1565,230
"1566",1566,321
"1567",1567,18
"1568",1568,17
"1569",1569,151
"1570",1570,46
"1571",1571,206
"1572",1572,40
"1573",1573,272
"1574",1574,145
"1575",1575,657
"1576",1576,435
"1577",1577,38
"1578",1578,257
"1579",1579,853
"1580",1580,278
"1581",1581,642
"1582",1582,478
"1583",1583,305
"1584",1584,1105
"1585",1585,5309
"1586",1586,96
"1587",1587,1755
"1588",1588,4198
"1589",1589,165
"1590",1590,307
"1591",1591,175
"1592",1592,45
"1593",1593,3528
"1594",1594,620
"1595",1595,10467
"1596",1596,3895
"1597",1597,93
"1598",1598,4811
"1599",1599,1289
"1600",1600,5805
"1601",1601,2615
"1602",1602,443
"1603",1603,2230
"1604",1604,69
"1605",1605,63
"1606",1606,735
"1607",1607,212
"1608",1608,731
"1609",1609,16
"1610",1610,52
"1611",1611,1914
"1612",1612,2856
"1613",1613,500
"1614",1614,16
"1615",1615,423
"1616",1616,1222
"1617",1617,143
"1618",1618,1833
"1619",1619,4
"1620",1620,97
"1621",1621,250
"1622",1622,78
"1623",1623,714
"1624",1624,142
"1625",1625,2448
"1626",1626,1509
"1627",1627,102
"1628",1628,70
"1629",1629,132
"1630",1630,25
"1631",1631,53
"1632",1632,890
"1633",1633,1440
"1634",1634,2922
"1635",1635,3977
"1636",1636,379
"1637",1637,3728
"1638",1638,4292
"1639",1639,3463
"1640",1640,4645
"1641",1641,1608
"1642",1642,825
"1643",1643,2315
"1644",1644,537
"1645",1645,298
"1646",1646,1293
"1647",1647,22
"1648",1648,20
"1649",1649,15
"1650",1650,306
"1651",1651,55
"1652",1652,120
"1653",1653,84
"1654",1654,15
"1655",1655,16
"1656",1656,23
"1657",1657,1430
"1658",1658,322
"1659",1659,461
"1660",1660,1755
"1661",1661,1786
"1662",1662,831
"1663",1663,3890
"1664",1664,2793
"1665",1665,1157
"1666",1666,1870
"1667",1667,282
"1668",1668,142
"1669",1669,401
"1670",1670,534
"1671",1671,1727
"1672",1672,107
"1673",1673,1225
"1674",1674,3374
"1675",1675,999
"1676",1676,203
"1677",1677,110
"1678",1678,1123
"1679",1679,101
"1680",1680,178
"1681",1681,24
"1682",1682,28
"1683",1683,21
"1684",1684,784
"1685",1685,1025
"1686",1686,45
"1687",1687,52
"1688",1688,61
"1689",1689,0
"1690",1690,351
"1691",1691,81
"1692",1692,47
"1693",1693,31
"1694",1694,66
"1695",1695,3940
"1696",1696,1803
"1697",1697,231
"1698",1698,41
"1699",1699,0
"1700",1700,54
"1701",1701,1490
"1702",1702,236
"1703",1703,83
"1704",1704,2
"1705",1705,8
"1706",1706,73
"1707",1707,745
"1708",1708,0
"1709",1709,38
"1710",1710,3555
"1711",1711,41
"1712",1712,936
"1713",1713,2106
"1714",1714,89
"1715",1715,0
"1716",1716,377
"1717",1717,427
"1718",1718,136
"1719",1719,14
"1720",1720,306
"1721",1721,201
"1722",1722,264
"1723",1723,899
"1724",1724,685
"1725",1725,472
"1726",1726,221
"1727",1727,46
"1728",1728,123
"1729",1729,811
"1730",1730,1673
"1731",1731,1597
"1732",1732,147
"1733",1733,624
"1734",1734,792
"1735",1735,13
"1736",1736,87
"1737",1737,235
"1738",1738,1041
