coefficient_name,value,constrain
coef_walk_transit_ASC_taxi_univ,-999.0,F
coef_walk_transit_ASC_taxi_work,-999.0,F
coef_walk_transit_ASC_tnc_single_atwork,-12.0,F
coef_walk_transit_ASC_tnc_single_eatout,41.0910378,F
coef_walk_transit_ASC_tnc_single_escort,-9.746578706,F
coef_walk_transit_ASC_tnc_single_othdiscr,41.0910378,F
coef_walk_transit_ASC_tnc_single_othmaint,-9.746578706,F
coef_walk_transit_ASC_tnc_single_school,-16.0,F
coef_walk_transit_ASC_tnc_single_shopping,-9.746578706,F
coef_walk_transit_ASC_tnc_single_social,41.0910378,F
coef_walk_transit_ASC_tnc_single_univ,-12.99228526,F
coef_walk_transit_ASC_tnc_single_work,-11.62866398,F
coef_walk_transit_ASC_tnc_shared_atwork,-999.0,F
coef_walk_transit_ASC_tnc_shared_eatout,-999.0,F
coef_walk_transit_ASC_tnc_shared_escort,-999.0,F
coef_walk_transit_ASC_tnc_shared_othdiscr,-999.0,F
coef_walk_transit_ASC_tnc_shared_othmaint,-999.0,F
coef_walk_transit_ASC_tnc_shared_school,-999.0,F
coef_walk_transit_ASC_tnc_shared_shopping,-999.0,F
coef_walk_transit_ASC_tnc_shared_social,-999.0,F
coef_walk_transit_ASC_tnc_shared_univ,-999.0,F
coef_walk_transit_ASC_tnc_shared_work,-999.0,F
coef_origin_density_applied_work_univ_school,0.0,T
coef_origin_density_applied_escort_shopping_eatout_othmaint_social_othdiscr_atwork,1.0,T
coef_drive_transit_ASC_sov_work,-2.415814936,F
coef_drive_transit_ASC_sr2_work,-13.09044736,F
coef_drive_transit_ASC_sr3p_work,-13.46298578,F
coef_drive_transit_ASC_walk_work,-59.91877981,F
coef_drive_transit_ASC_bike_work,-13.58236716,F
coef_drive_transit_ASC_walk_transit_work,-58.5666369,F
coef_drive_transit_ASC_taxi_work,-999.0,F
coef_drive_transit_ASC_tnc_single_work,-15.11209249,F
coef_drive_transit_ASC_tnc_shared_work,-999.0,F
coef_taxi_ASC_sr2_work,0.0,F
coef_taxi_ASC_sr3p_work,0.0,F
coef_taxi_ASC_walk_work,-42.0,F
coef_taxi_ASC_walk_transit_work,0.0,F
coef_taxi_ASC_tnc_single_work,-9.00135724017811,F
coef_taxi_ASC_tnc_shared_work,-999.0,F
coef_tnc_single_ASC_sr2_work,-2.730606979,F
coef_tnc_single_ASC_sr3p_work,-4.358121248,F
coef_tnc_single_ASC_walk_work,-13.66318159,F
coef_tnc_single_ASC_walk_transit_work,0.0,F
coef_tnc_single_ASC_taxi_work,-999.0,F
coef_tnc_single_ASC_tnc_shared_work,-999.0,F
coef_tnc_shared_ASC_sr2_work,-2.730606979,F
coef_tnc_shared_ASC_sr3p_work,-4.358121248,F
coef_tnc_shared_ASC_walk_work,-42.0,F
coef_tnc_shared_ASC_walk_transit_work,0.0,F
coef_tnc_shared_ASC_taxi_work,-999.0,F
coef_tnc_shared_ASC_tnc_single_work,8.80593397882189,F
coef_drive_transit_ASC_sov_univ,-3.868062397,F
coef_drive_transit_ASC_sr2_univ,-12.05684624,F
coef_drive_transit_ASC_sr3p_univ,-12.0,F
coef_drive_transit_ASC_walk_univ,-55.34630972,F
coef_drive_transit_ASC_bike_univ,-12.0,F
coef_drive_transit_ASC_walk_transit_univ,-53.00094583,F
coef_drive_transit_ASC_taxi_univ,-999.0,F
coef_drive_transit_ASC_tnc_single_univ,-20.0,F
coef_drive_transit_ASC_tnc_shared_univ,-999.0,F
coef_taxi_ASC_sr2_univ,0.0,F
coef_taxi_ASC_sr3p_univ,0.0,F
coef_taxi_ASC_walk_univ,-6.0,F
coef_taxi_ASC_walk_transit_univ,0.0,F
coef_taxi_ASC_tnc_single_univ,-58.0,F
coef_taxi_ASC_tnc_shared_univ,-999.0,F
coef_tnc_single_ASC_sr2_univ,0.0,F
coef_tnc_single_ASC_sr3p_univ,0.0,F
coef_tnc_single_ASC_walk_univ,-5.88805216,F
coef_tnc_single_ASC_walk_transit_univ,0.0,F
coef_tnc_single_ASC_taxi_univ,-999.0,F
coef_tnc_single_ASC_tnc_shared_univ,-999.0,F
coef_tnc_shared_ASC_sr2_univ,0.0,F
coef_tnc_shared_ASC_sr3p_univ,0.0,F
coef_tnc_shared_ASC_walk_univ,-36.0,F
coef_tnc_shared_ASC_walk_transit_univ,0.0,F
coef_tnc_shared_ASC_taxi_univ,-999.0,F
coef_tnc_shared_ASC_tnc_single_univ,-88.0,F
coef_joint_drive_transit_ASC_sov_discretionary,0.0,F
coef_joint_drive_transit_ASC_sr2_discretionary,-38.0,F
coef_joint_drive_transit_ASC_sr3p_discretionary,-38.0,F
coef_joint_drive_transit_ASC_walk_discretionary,-20.3631636,F
coef_joint_drive_transit_ASC_bike_discretionary,-36.0,F
coef_joint_drive_transit_ASC_walk_transit_discretionary,-36.0,F
coef_joint_drive_transit_ASC_taxi_discretionary,-999.0,F
coef_joint_drive_transit_ASC_tnc_single_discretionary,-30.0,F
coef_joint_drive_transit_ASC_tnc_shared_discretionary,-999.0,F
coef_joint_drive_transit_ASC_sov_maintenance,0.0,F
coef_joint_drive_transit_ASC_sr2_maintenance,-34.0,F
coef_joint_drive_transit_ASC_sr3p_maintenance,-42.0,F
coef_joint_drive_transit_ASC_walk_maintenance,-20.3631636,F
coef_joint_drive_transit_ASC_bike_maintenance,-28.0,F
coef_joint_drive_transit_ASC_walk_transit_maintenance,-40.0,F
coef_joint_drive_transit_ASC_taxi_maintenance,-999.0,F
coef_joint_drive_transit_ASC_tnc_single_maintenance,-30.0,F
coef_joint_drive_transit_ASC_tnc_shared_maintenance,-999.0,F
coef_joint_taxi_ASC_sr2_discretionary,0.0,F
coef_joint_taxi_ASC_sr3p_discretionary,0.0,F
coef_joint_taxi_ASC_walk_discretionary,-58.0,F
coef_joint_taxi_ASC_tnc_single_discretionary,-30.0,F
coef_joint_taxi_ASC_tnc_shared_discretionary,-999.0,F
