"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Hennepin","Hennepin","Walk-Transit","Work",45457.9601152974
"Hennepin","Hennepin","Walk","Work",44162.4953137595
"Hennepin","Wright","Auto SOV","Maintenance",2745.69671291199
"Wright","Wright","Auto 3+ Person","Maintenance",3657.12542017261
"Wright","Wright","Auto SOV","Maintenance",17116.3824126421
"Anoka","Hennepin","Auto SOV","Work",40578.188218709
"Ramsey","Ramsey","Auto 3+ Person","Eating Out",13302.1875791418
"Ramsey","Ramsey","Walk","University",4844.60316040228
"Ramsey","Ramsey","Walk","Eating Out",6629.919597876
"Dakota","Dakota","Auto 2 Person","Escort",56962.0830351642
"Dakota","Dakota","Auto 2 Person","Discretionary",28776.1374320322
"Dakota","Ramsey","Auto SOV","Discretionary",1662.73398324491
"Sherburne","Sherburne","Auto SOV","Escort",2868.48350207067
"Sherburne","Sherburne","Auto SOV","Shop",6261.66194953881
"Sherburne","Ramsey","Auto SOV","Discretionary",15.8128364955191
"Ramsey","Hennepin","Auto SOV","Discretionary",4707.23908881245
"Ramsey","Hennepin","Auto SOV","Maintenance",18720.8157338952
"Scott","Dakota","Auto SOV","Maintenance",464.864286907402
"Dakota","Ramsey","Auto SOV","Maintenance",3103.02600017191
"Ramsey","Dakota","Auto SOV","Discretionary",1841.23133420055
"Dakota","Scott","Auto SOV","Discretionary",1145.59910483981
"Scott","Dakota","Auto SOV","Work",6495.11192614359
"Hennepin","Scott","Auto SOV","Work",11300.4490988541
"Hennepin","Carver","Auto SOV","Work",21053.5578995813
"Carver","Carver","Auto SOV","Work",26289.5895620987
"Carver","Carver","Auto SOV","Work-based",10195.5862000273
"Carver","Hennepin","Auto SOV","Work-based",1334.54878349026
"Hennepin","Carver","Auto SOV","Work-based",2057.80458945102
"Carver","Hennepin","Auto SOV","Work",18665.8129967848
"Carver","Hennepin","Auto 3+ Person","Escort",3089.64871945236
"Hennepin","Carver","Auto 3+ Person","Escort",3766.9591575196
"Hennepin","Carver","TNR-Transit","School",141.041920334596
"Carver","Hennepin","TNR-Transit","School",118.818107182087
"Carver","Carver","Auto 3+ Person","Escort",18139.2688113215
"Hennepin","Hennepin","Auto 3+ Person","Discretionary",42818.5532535836
"Hennepin","Hennepin","Auto 3+ Person","Maintenance",30824.6187985545
"Washington","Washington","Auto 2 Person","Maintenance",25225.5092549442
"Washington","Washington","Auto 3+ Person","Discretionary",7318.21894462016
"Washington","Washington","Auto 2 Person","Discretionary",13676.5378716821
"Washington","Washington","Auto 2 Person","Escort",29736.1865387612
"Ramsey","Ramsey","Walk-Transit","Maintenance",10642.7339693542
"Dakota","Hennepin","Auto SOV","Work",44623.6275299429
"Ramsey","Dakota","Auto SOV","Work-based",2740.46417132716
"Ramsey","Ramsey","Auto 2 Person","Discretionary",32962.6969768733
"Ramsey","Ramsey","Auto 3+ Person","Discretionary",12772.0941408601
"Ramsey","Anoka","Auto 3+ Person","Discretionary",1986.56865915612
"Washington","Washington","Auto SOV","Work",104051.031916533
"Ramsey","Hennepin","Auto SOV","University",2412.56794152117
"Hennepin","Ramsey","Auto SOV","University",2998.41268562268
"Washington","Ramsey","Auto SOV","Work",29291.8477072653
"Ramsey","Ramsey","Auto 2 Person","Work-based",13737.3742356402
"Ramsey","Anoka","Auto SOV","Work-based",3326.67400096884
"Anoka","Washington","Auto SOV","Work-based",204.848783798026
"Washington","Washington","TNR-Transit","School",12728.4781138503
"Anoka","Ramsey","Auto SOV","Work",22861.62818656
"Ramsey","Anoka","Auto SOV","Work",27713.9580916945
"Rice","Rice","Auto SOV","Maintenance",8155.62933818947
"Rice","Hennepin","Auto 2 Person","Maintenance",58.6722126748987
"Hennepin","Dakota","Auto 2 Person","Maintenance",6360.67579601315
"Dakota","Dakota","Auto 2 Person","Maintenance",22533.6736802567
"Hennepin","Hennepin","Auto 3+ Person","Visiting",28134.5943285383
"Hennepin","Hennepin","Auto 3+ Person","Shop",43299.8786450467
"Dakota","Dakota","Auto 3+ Person","Escort",55458.1197466469
"Dakota","Hennepin","Walk-Transit","Discretionary",728.488744911889
"Dakota","Dakota","Auto 3+ Person","School",24718.8547103598
"Pierce","Goodhue","Auto SOV","Work",1984.83234059158
"Goodhue","Goodhue","Auto SOV","Work",19624.9313581695
"Goodhue","Pierce","Auto SOV","Work",2120.82992618598
"Pierce","Pierce","Auto SOV","Work",14028.1171695119
"Goodhue","Pierce","Auto SOV","Work-based",163.474684315387
"Pierce","Pierce","Auto SOV","Work-based",6410.45341363045
"Hennepin","Hennepin","Walk-Transit","Eating Out",6414.15780884745
"Isanti","Isanti","Auto SOV","Work",19934.6584129595
"Isanti","Isanti","Auto SOV","Shop",2643.2518197492
"Isanti","Isanti","Auto SOV","University",54.16101625488
"Ramsey","Ramsey",NA,"School",26.1227205071058
"Ramsey","Ramsey","TNR-Transit","School",21462.1711711486
"Dakota","Ramsey","Auto 2 Person","Maintenance",2994.87805869092
"Ramsey","Dakota","Auto 2 Person","Maintenance",3092.24766883765
"Goodhue","Dakota","Auto 2 Person","Maintenance",13.2783204623181
"Sherburne","Sherburne","Auto SOV","Work-based",2667.70253247278
"Sherburne","Sherburne","Auto 3+ Person","School",3420.5036864267
"Hennepin","Hennepin","Walk","Maintenance",41167.0049221735
"Polk","Washington","Auto SOV","Work",2053.62995565306
"Polk","Polk","Auto 3+ Person","Work",6029.82755052903
"Polk","Polk","Auto SOV","Work",27121.2237141918
"Polk","Polk","Auto 3+ Person","Work-based",3115.09474289271
"Polk","Polk","Auto 3+ Person","Discretionary",24867.3640278896
"Ramsey","Ramsey","Auto 2 Person","Maintenance",28349.9682558542
"Dakota","Dakota","Bike/Moped","Discretionary",1751.8224305379
"Dakota","Dakota","Auto 3+ Person","Work",10733.3815377063
"Dakota","Dakota","TNR-Transit","Visiting",984.423993520994
"Dakota","Dakota","TNR-Transit","School",21920.0301432274
"Dakota","Dakota","Auto 3+ Person","Maintenance",18392.7238292981
"Hennepin","Anoka","Auto SOV","Maintenance",5718.00707774047
"Anoka","Hennepin","Auto SOV","Maintenance",4360.83750230473
"Hennepin","Rice","Auto SOV","Work",1497.43025329703
"Rice","Hennepin","Auto SOV","Work",2643.83798946005
"Rice","Hennepin","Walk","Discretionary",58.3674660173564
"Ramsey","Hennepin","Walk","Work-based",1851.9675740556
"Hennepin","Ramsey","Walk","Work-based",1358.6037910574
"Hennepin","Ramsey","Auto 3+ Person","Work",1734.90278549671
"Dakota","Scott","Auto SOV","Work",6661.08564331599
"Anoka","Anoka","Auto SOV","Work-based",22805.1258731912
"Anoka","Hennepin","Auto SOV","Work-based",6145.41976660635
"Scott","Scott","Auto SOV","Work-based",12595.4364552947
"Goodhue","Goodhue","Auto 2 Person","Shop",3056.6036571051
"Goodhue","Anoka","Auto 3+ Person","Shop",553.204490422852
"Anoka","Anoka","Auto 3+ Person","Shop",11058.2742924872
"Anoka","Chisago","Auto 3+ Person","Shop",553.204490422852
"Goodhue","Goodhue","Auto 2 Person","Escort",3003.14224651572
"Goodhue","Dakota","Auto SOV","Escort",154.838354426576
"Dakota","Goodhue","Auto SOV","Visiting",138.301122605713
"Goodhue","Goodhue","Auto SOV","Visiting",1853.26216154994
"Goodhue","Goodhue","Auto 3+ Person","Visiting",2903.25548665616
"Goodhue","Goodhue","Auto 3+ Person","Eating Out",829.806735634278
"Goodhue","Anoka","Auto SOV","Work",276.602245211426
"Anoka","Chisago","Auto SOV","Work",1860.91590956229
"Goodhue","Dakota","Auto 3+ Person","Visiting",304.151854704263
"Dakota","Goodhue","Auto 3+ Person","Escort",220.987281710029
"Goodhue","Goodhue","Auto 3+ Person","Escort",1245.38454417643
"Goodhue","Anoka","Auto 3+ Person","Visiting",276.602245211426
"Anoka","Anoka","Auto 3+ Person","Visiting",7242.37326500924
"Anoka","Chisago","Auto 3+ Person","Visiting",1247.27882149037
"Goodhue","Goodhue","Auto 2 Person","Discretionary",1081.48632932812
"Goodhue","Dakota","Auto 3+ Person","Discretionary",577.62726625085
"Dakota","Goodhue","Auto 3+ Person","Discretionary",1424.54872884184
"St. Croix","St. Croix","Auto SOV","Visiting",2486.69735653432
"St. Croix","Washington","Auto SOV","Work",5470.59534572223
"St. Croix","St. Croix","Auto SOV","Eating Out",1821.38248446595
"Hennepin","Ramsey","Auto SOV","Visiting",2354.71877205656
"Ramsey","Ramsey","Drive-Transit","Work",681.880509000415
"Ramsey","Ramsey","Auto 3+ Person","Maintenance",13420.3913387769
"St. Croix","St. Croix","Auto SOV","Work",31323.5582066708
"St. Croix","Ramsey","Auto 2 Person","Work-based",129.787443393578
"Ramsey","Washington","Auto 2 Person","Work-based",1446.28847016479
"Washington","St. Croix","Auto 2 Person","Work-based",588.111303221198
"St. Croix","St. Croix","Auto SOV","Work-based",9119.27521549223
"St. Croix","St. Croix","Auto SOV","Shop",9842.055844357
"St. Croix","St. Croix","Auto 2 Person","Work",7519.43258465293
"St. Croix","St. Croix","Auto 2 Person","Escort",5722.20409971074
"Hennepin","Hennepin","Walk","Work-based",77568.3827061886
