"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
13,7879.40946719115,1067.40435076954,0,9140.45540240596,1710.88486768773,19476.6200738992,1033.5323372654,0,319.240187525319,257.698313766079,257.553584648046,9925.3673106516,107.499845396153,1190.94370776415,1903.89452499696,0,1591.63767963578,5049.82764238091,2037.84214000714,62949.8114359911
14,7579.00288672709,1519.66295069169,309.202342370528,6003.86961906474,0,23767.2322011448,456.643656870773,130.857959691307,0,246.573432233262,592.389739355863,6031.6657966982,1569.37021185921,3766.25128817849,923.176038101169,0,2005.27900894635,5041.25323509696,1460.77539873496,61403.2057657654
15,4284.56518749461,3171.76514567696,0,4715.89792441274,431.689903015877,24330.2351665887,0,776.774223675223,0,1376.34482967926,139.573336985004,7465.98623862042,1458.27745788507,891.99854578728,792.486795223154,0,1937.31361176765,6269.36015828712,874.577673260388,58916.8461983594
16,9321.63815160707,559.19621723843,0,5361.48066607119,194.013599642352,18947.4151158701,842.345823598568,99.5584914945832,1979.641156682,0,0,5289.21738104966,0,1458.67098823211,101.681008952958,0,1625.86184034834,3875.29642316252,1018.78146121142,50674.7983251613
17,6867.04179755419,1024.78245727553,1274.12364233932,6146.88234577683,869.220904273135,17877.9525917521,844.569172070338,0,0,237.517658542131,837.099251999225,6479.40908615433,0,2305.87742907001,1813.7496876801,0,980.683468048656,3906.66899392403,791.288255495713,52256.8667419556
18,7870.18141689543,104.99608719888,258.811445075346,8583.35293681705,217.259597453759,11700.3177853972,819.899291797666,0,0,51.0144040250644,1227.69820673107,3557.94000007278,54.3516353062336,966.686678972425,544.315964321507,0,2014.00069246247,1883.17738879824,2890.55984301981,42744.5633743449
19,4403.54071897355,2251.81325979077,493.094699134218,5772.21060426523,0,19578.7300104855,0,986.637860082304,681.900116002397,0,671.904517281699,3002.18231554492,0,1391.07717493517,717.538823981634,0,49.8324866470896,4336.56618769051,954.270143321899,45291.2989181369
20,5513.24649934375,1482.57649708212,87.42974557759,4165.35983432891,0,9912.62637219282,0,0,0,55.3496042769024,67.5405683568343,2093.97426838943,0,1733.96673073533,335.228403295545,0,2208.85440286914,4708.17002319891,3558.60263576207,35922.9255854094
21,2951.39278942498,798.98377197118,850.55245219084,5232.30254026511,0,9648.25075546161,1258.6564283922,314.646067324103,424.299141799926,330.422242892099,51.0144040250644,3290.16620697623,1425.26782333069,2318.96429112738,2993.83716153198,955.546671764057,920.391230127663,4647.07819095526,1468.79295260363,39880.565122164
22,1483.03287729866,1530.84671832907,210.640989245325,4452.71793069688,0,6406.71175286167,50.0521859213431,146.133919271492,1795.51748022482,0,1037.10323817873,2072.98749716469,271.843761870961,949.163063940455,2041.96970020358,0,1346.27018836624,399.924528313083,1048.93656756666,25243.8523994537
