"timebin","purpose","freq_stop","freq_trip"
11,"idisc",10404.8576508088,44468.6632882942
12,"idisc",13690.3817580622,51743.2864868456
13,"idisc",21080.1572283651,59792.5539972843
14,"idisc",20162.1904124641,53493.7738236082
15,"idisc",20090.8510746492,51139.7172294971
16,"idisc",16922.4836768716,46920.4637219326
17,"idisc",20537.5695711841,54434.9452585385
18,"idisc",23718.1765728346,50628.737355768
19,"idisc",20297.9691512131,53546.7711101069
2,"idisc",0,1325.96315406555
20,"idisc",19316.143037648,51783.3340348225
21,"idisc",20255.9192383175,52737.2663479028
22,"idisc",27480.8410236957,53551.3513584413
23,"idisc",20798.8551931933,51428.5322581175
24,"idisc",26891.748385529,58177.8505556176
25,"idisc",27998.7459381034,63164.4076028475
26,"idisc",34943.7301691646,76306.9317971377
27,"idisc",29186.0127980056,80946.2020259361
28,"idisc",32885.5813151019,88125.144640572
29,"idisc",25627.0313314582,92949.0470902816
3,"idisc",213.998696200405,1583.80888471739
30,"idisc",26182.3427107145,92351.2266904167
31,"idisc",31236.5331519611,103757.895816806
32,"idisc",31596.8229338628,94626.0498152179
33,"idisc",22618.1304354685,64833.9565411233
34,"idisc",17406.9677886881,65234.3616108521
35,"idisc",20554.3295788045,60408.7223245637
36,"idisc",13452.0716283829,47234.9802019101
37,"idisc",13136.1520850922,37357.6905580374
38,"idisc",7343.62322649526,19103.857010804
39,"idisc",5185.79344219009,14274.1794818719
4,"idisc",1052.99843754913,5237.74411639308
40,"idisc",3049.41649240322,7692.00914028529
41,"idisc",2345.3512025819,5237.93346182006
42,"idisc",1077.18628529959,1988.50680277839
43,"idisc",0,1189.04642122288
44,"idisc",0,823.218594460415
45,"idisc",0,677.406595806781
46,"idisc",247.597296422808,2761.08047305871
47,"idisc",0,1119.57879190501
48,"idisc",1080.8347851002,1104.06563527983
5,"idisc",90.0967012057195,11845.5690596128
6,"idisc",1849.54813624459,18155.5149180318
7,"idisc",1552.81483638068,18203.4452912387
8,"idisc",3756.21855196038,31137.2753936749
9,"idisc",10715.6804930188,40605.8732814183
1,"imain",114.735995713069,2053.51596482113
10,"imain",6512.38120264678,48617.3273401607
11,"imain",13364.06755716,55812.7753278044
12,"imain",22386.6988593423,70224.0697242133
13,"imain",23304.2475829018,81510.5484179054
14,"imain",30962.4886700346,81753.7573655736
15,"imain",31489.0677783722,70490.7551553388
16,"imain",24803.4928844019,65663.3811265336
17,"imain",32924.4301682601,84366.6521538904
18,"imain",45665.3590131906,92685.4537934853
19,"imain",44691.9787370555,87662.4808383516
2,"imain",142.80708621026,2871.25206244483
20,"imain",39566.3583449028,84164.2701485602
21,"imain",40690.8779017495,78762.891057591
22,"imain",39613.3933413663,92016.5873528089
23,"imain",50932.6711228793,95667.6704208057
24,"imain",46715.9933325648,102677.449099954
25,"imain",33490.294399998,81205.4831080942
26,"imain",49329.404397192,94017.2809983477
27,"imain",48310.7875915309,90842.1933892449
28,"imain",46886.7883260798,86523.9001494565
29,"imain",41282.0643617863,93808.2975405475
3,"imain",304.940189567817,3646.24225530681
30,"imain",31522.6125539902,70776.4418403614
31,"imain",26697.7577575187,61439.94218284
32,"imain",21267.169574798,47821.5681516058
33,"imain",31061.997411194,59315.8765256794
34,"imain",20006.7004725359,42803.6060917222
35,"imain",23485.1036838433,41524.0789177865
36,"imain",14109.2563236459,24343.3294174583
37,"imain",12375.8650386876,21862.1561835478
38,"imain",5873.50066894803,8982.20002411981
39,"imain",2389.29249895579,6212.90312208798
4,"imain",198.856724982166,4018.09195575675
40,"imain",3968.05639018246,5054.29238151702
41,"imain",2252.6148546495,2584.63385296017
42,"imain",578.893979535588,629.539451808267
43,"imain",0,671.817103960953
44,"imain",322.794849680075,841.337559998612
45,"imain",0,327.512459650882
46,"imain",0,2350.2833357738
47,"imain",65.6872603216107,3462.82667131881
48,"imain",80.6920073823836,1043.88843957023
5,"imain",437.272502669944,9190.53727230462
6,"imain",477.059117912964,15469.4514154649
7,"imain",5705.83899462541,27063.6493712719
8,"imain",5031.78634174019,30737.7960422856
9,"imain",4941.48020805707,40556.0552586454
1,"jdisc",0,238.433452755483
10,"jdisc",0,3141.38017413644
11,"jdisc",166.341178097556,2139.80184084802
12,"jdisc",724.570281551767,5615.6507905155
13,"jdisc",380.746039767848,3817.59901437978
14,"jdisc",288.222962627261,3223.60981427933
15,"jdisc",1123.83627547248,7016.86907548044
16,"jdisc",1029.85152016332,6198.46731456927
17,"jdisc",2264.60239449429,7856.12341254432
