HH_ID=18119342	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [2, 3]
HH_ID=18119342	PER_ID=3 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 3] to [2, 3]
HH_ID=18119342	PER_ID=2 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 2] to [2, 3]
HH_ID=18119342	PER_ID=3 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 3] to [2, 3]
HH_ID=18121526	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18121526	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18121526	Inconsistent departure times: trips departing at 15:45 and 15:48 are assumed to be made together
HH_ID=18121526	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18121526	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18124224	PER_ID=3 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 3] to [3, 4]
HH_ID=18124224	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 4] to [3, 4]
HH_ID=18124224	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [2, 4]
HH_ID=18124224	PER_ID=4 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 4] to [2, 4]
HH_ID=18124224	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [2, 4]
HH_ID=18124224	PER_ID=4 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 4] to [2, 4]
HH_ID=18124224	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [2, 5]
HH_ID=18124224	PER_ID=5 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 5] to [2, 5]
HH_ID=18124224	PER_ID=3 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 3] to [3, 4]
HH_ID=18124224	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 4] to [3, 4]
HH_ID=18124224	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [2, 5]
HH_ID=18124224	PER_ID=5 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 5] to [2, 5]
HH_ID=18124224	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [2, 3]
HH_ID=18124224	PER_ID=3 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 3] to [2, 3]
HH_ID=18127925	Inconsistent departure times: trips departing at 17:3 and 17:4 are assumed to be made together
HH_ID=18127925	PER_ID=1 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18127925	PER_ID=2 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18129401	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18129401	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18129401	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18129401	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18131773	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 2] to [2, 3, 4]
HH_ID=18131773	PER_ID=3 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 3] to [2, 3, 4]
HH_ID=18131773	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 4] to [2, 3, 4]
HH_ID=18131773	PER_ID=2 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 2] to [2, 3, 4]
HH_ID=18131773	PER_ID=3 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 3] to [2, 3, 4]
HH_ID=18131773	PER_ID=4 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 4] to [2, 3, 4]
HH_ID=18137131	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1, 2] to [2, 3, 4, 5]
HH_ID=18137131	PER_ID=3 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1, 3] to [2, 3, 4, 5]
HH_ID=18137131	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1, 4] to [2, 3, 4, 5]
HH_ID=18137131	PER_ID=5 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1, 5] to [2, 3, 4, 5]
HH_ID=18137131	PER_ID=2 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 2] to [2, 5]
HH_ID=18137131	PER_ID=5 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 5] to [2, 5]
HH_ID=18137131	PER_ID=2 	TRIP_ID=5 	reset TRAVEL PARTY from [1, 1, 2] to [2, 5]
HH_ID=18137131	PER_ID=5 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 5] to [2, 5]
HH_ID=18137131	Inconsistent departure times: trips departing at 13:46 and 13:48 are assumed to be made together
HH_ID=18137131	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1] to [1, 2, 5]
HH_ID=18137131	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 2] to [1, 2, 5]
HH_ID=18137131	PER_ID=5 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 5] to [1, 2, 5]
HH_ID=18137131	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 2] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=3 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 3] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=4 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 4] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=5 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 5] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=1 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=2 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 2] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=3 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 3] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=4 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 4] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=5 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 5] to [1, 2, 3, 4, 5]
HH_ID=18137131	Inconsistent departure times: trips departing at 18:17 and 18:18 are assumed to be made together
HH_ID=18137131	PER_ID=1 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=2 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 2] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=3 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 3] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=4 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 4] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=5 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 5] to [1, 2, 3, 4, 5]
HH_ID=18137131	Inconsistent departure times: trips departing at 19:27 and 19:33 are assumed to be made together
HH_ID=18137131	PER_ID=1 	TRIP_ID=5 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=2 	TRIP_ID=6 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 2] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=3 	TRIP_ID=6 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 3] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=4 	TRIP_ID=6 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 4] to [1, 2, 3, 4, 5]
HH_ID=18137131	PER_ID=5 	TRIP_ID=6 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 5] to [1, 2, 3, 4, 5]
HH_ID=18139584	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1] to [1, 6, 7]
HH_ID=18139584	PER_ID=6 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 6] to [1, 6, 7]
HH_ID=18139584	PER_ID=7 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 7] to [1, 6, 7]
HH_ID=18139584	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1] to [1, 6, 7]
HH_ID=18139584	PER_ID=6 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 6] to [1, 6, 7]
HH_ID=18139584	PER_ID=7 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 7] to [1, 6, 7]
HH_ID=18139584	PER_ID=1 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1] to [1, 6, 7]
HH_ID=18139584	PER_ID=6 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 6] to [1, 6, 7]
HH_ID=18139584	PER_ID=7 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 7] to [1, 6, 7]
HH_ID=18139584	PER_ID=1 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1] to [1, 6, 7]
HH_ID=18139584	PER_ID=6 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 6] to [1, 6, 7]
HH_ID=18139584	PER_ID=7 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 7] to [1, 6, 7]
HH_ID=18139584	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 2] to [2, 7, 8]
HH_ID=18139584	PER_ID=7 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 7] to [2, 7, 8]
HH_ID=18139584	PER_ID=8 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 8] to [2, 7, 8]
HH_ID=18139584	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 2] to [2, 7]
HH_ID=18139584	PER_ID=7 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 7] to [2, 7]
