coefficient_name,value,constrain
coef_sr2_ASC_taxi_univ,-2.0,F
coef_sr2_ASC_taxi_work,-0.6855773452501515,F
coef_sr2_ASC_tnc_single_atwork,-4.0,F
coef_sr2_ASC_tnc_single_eatout,3.479076094570857,F
coef_sr2_ASC_tnc_single_escort,-2.70805020110221,F
coef_sr2_ASC_tnc_single_othdiscr,3.479076094570857,F
coef_sr2_ASC_tnc_single_othmaint,-2.70805020110221,F
coef_sr2_ASC_tnc_single_school,-4.0,F
coef_sr2_ASC_tnc_single_shopping,-2.70805020110221,F
coef_sr2_ASC_tnc_single_social,3.479076094570857,F
coef_sr2_ASC_tnc_single_univ,-2.0,F
coef_sr2_ASC_tnc_single_work,4.244249515981082,F
coef_sr2_ASC_tnc_shared_atwork,0.0,F
coef_sr2_ASC_tnc_shared_eatout,-2.0,F
coef_sr2_ASC_tnc_shared_escort,-3.0,F
coef_sr2_ASC_tnc_shared_othdiscr,-2.0,F
coef_sr2_ASC_tnc_shared_othmaint,-3.0,F
coef_sr2_ASC_tnc_shared_school,-4.0,F
coef_sr2_ASC_tnc_shared_shopping,-3.0,F
coef_sr2_ASC_tnc_shared_social,-2.0,F
coef_sr2_ASC_tnc_shared_univ,-2.0,F
coef_sr2_ASC_tnc_shared_work,-2.0,F
coef_sr3p_ASC_sov_atwork,-2.8371924519190723,F
coef_sr3p_ASC_sov_eatout,-1.3738878196124684,F
coef_sr3p_ASC_sov_escort,-1.1604794064580009,F
coef_sr3p_ASC_sov_othdiscr,-1.3738878196124684,F
coef_sr3p_ASC_sov_othmaint,-1.1604794064580009,F
coef_sr3p_ASC_sov_school,-1.9010247132209774,F
coef_sr3p_ASC_sov_shopping,-1.1604794064580009,F
coef_sr3p_ASC_sov_social,-1.3738878196124684,F
coef_sr3p_ASC_sov_univ,0.737990545028417,F
coef_sr3p_ASC_sov_work,-0.01834223168567349,F
coef_sr3p_ASC_sr2_atwork,-1.766344031343304,F
coef_sr3p_ASC_sr2_eatout,-1.0134089636438501,F
coef_sr3p_ASC_sr2_escort,-0.8573624539941492,F
coef_sr3p_ASC_sr2_othdiscr,-1.3034089636438502,F
coef_sr3p_ASC_sr2_othmaint,-0.8773624539941492,F
coef_sr3p_ASC_sr2_school,-1.1912135319509745,F
coef_sr3p_ASC_sr2_shopping,-0.6673624539941493,F
coef_sr3p_ASC_sr2_social,-0.85340896364385,F
coef_sr3p_ASC_sr2_univ,-1.59796162793686,F
coef_sr3p_ASC_sr2_work,-0.6410972308763454,F
coef_sr3p_ASC_walk_atwork,-5.023433211719613,F
coef_sr3p_ASC_walk_eatout,-2.3123613682829713,F
coef_sr3p_ASC_walk_escort,-4.202793112102994,F
coef_sr3p_ASC_walk_othdiscr,-2.7923613682829713,F
coef_sr3p_ASC_walk_othmaint,-3.1527931121029944,F
coef_sr3p_ASC_walk_school,-4.4443213677250295,F
coef_sr3p_ASC_walk_shopping,-3.7027931121029947,F
coef_sr3p_ASC_walk_social,-2.5823613682829714,F
coef_sr3p_ASC_walk_univ,-2.8178133402034726,F
coef_sr3p_ASC_walk_work,-2.4262702849775435,F
coef_sr3p_ASC_taxi_atwork,-4.0,F
coef_sr3p_ASC_taxi_eatout,-0.29253475714054433,F
coef_sr3p_ASC_taxi_escort,-2.0,F
coef_sr3p_ASC_taxi_othdiscr,-0.29253475714054433,F
coef_sr3p_ASC_taxi_othmaint,-2.0,F
coef_sr3p_ASC_taxi_school,-4.0,F
coef_sr3p_ASC_taxi_shopping,-2.0,F
coef_sr3p_ASC_taxi_social,-0.29253475714054433,F
coef_sr3p_ASC_taxi_univ,0.0,F
coef_sr3p_ASC_taxi_work,0.0,F
coef_sr3p_ASC_tnc_single_atwork,-4.0,F
coef_sr3p_ASC_tnc_single_eatout,2.7299611536826616,F
