"id","purpose","freq_as0","freq_as1","freq_as2","freq_all"
"9","jdisc",0,0,86.643552531777,86.643552531777
"1","atwork",76.8662021707137,5023.6279235504,118729.624244219,123830.11836994
"10","atwork",0,0,0,0
"2","atwork",42.8976903527781,3747.35757460067,27406.0981350897,31196.3534000432
"3","atwork",0,1862.96777604259,8742.17513593053,10605.1429119731
"4","atwork",1613.89380855528,5298.54944065093,55702.9690129196,62615.4122621258
"5","atwork",0,25.7667271784232,527.652156865521,553.418884043944
"6","atwork",141.376435201719,3121.02693051854,4664.45202768773,7926.85539340799
"7","atwork",0,0,0,0
"8","atwork",206.295171715336,18.4171272043676,34.3556362378976,259.067935157602
"9","atwork",0,0,393.850888258014,393.850888258014
"1","Total",7640.52494071097,90944.919844815,1933879.52552839,2032464.97031391
"10","Total",0,0,0,0
"2","Total",10481.8039085312,85287.8524761336,1147926.61730012,1243696.27368479
"3","Total",6767.66591437756,36236.3714209802,971059.729284762,1014063.76662012
"4","Total",26269.6720634371,32035.9291369996,309467.615785327,367773.216985763
"5","Total",4535.41756757031,7679.94044597932,42310.8045456358,54526.1625591854
"6","Total",59124.2221303931,19098.0557229254,86197.8690120368,164420.146865355
"7","Total",2759.65585471521,1367.75371093308,28624.0431025843,32751.4526682326
"8","Total",4069.53972015544,740.293790435209,9983.63134043063,14793.4648510213
"9","Total",5626.18402400461,3628.0859427638,137752.887887045,147007.157853813
