"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Dakota","Ramsey","Auto SOV","Discretionary",1370.44905123806
"Scott","Scott","Auto 2 Person","Escort",18766.1273124838
"Scott","Scott","Auto SOV","Work-based",3818.09151812943
"Scott","Carver","Auto 2 Person","Maintenance",30.789626012286
"Carver","Scott","Auto 2 Person","Maintenance",94.8251000955715
"Scott","Scott","Auto SOV","Maintenance",38151.6517564996
"Scott","Scott","Auto 2 Person","School",5192.58720597749
"Sherburne","Sherburne","Auto SOV","Escort",3894.29103236136
"Sherburne","Sherburne","Auto SOV","Shop",8305.31292833915
"Sherburne","Ramsey","Auto SOV","Discretionary",15.8128364955191
"Ramsey","Hennepin","Auto SOV","Discretionary",6200.08781079296
"Ramsey","Ramsey","Walk","Work",23371.9386261741
"Scott","Dakota","Auto SOV","Maintenance",4345.06013881356
"Ramsey","Dakota","Auto SOV","Discretionary",1592.64425906782
"Dakota","Scott","Auto SOV","Discretionary",1224.10256821482
"Scott","Hennepin","Auto SOV","Maintenance",7463.80737698554
"Hennepin","Scott","Auto SOV","Maintenance",6242.30071280039
"Hennepin","Carver","Auto SOV","Work",18763.7118275759
"Carver","Carver","Auto SOV","Work",28800.6476430516
"Carver","Hennepin","Auto SOV","Work",17118.067856451
"Carver","Hennepin","Auto SOV","Work-based",266.927806244936
"Hennepin","Hennepin","Auto SOV","Work-based",87861.5828106429
"Carver","Hennepin","Auto 3+ Person","Escort",3301.86533494211
"Hennepin","Carver","Auto 3+ Person","Escort",3914.1030279876
"Hennepin","Carver","TNR-Transit","School",194.037469368882
"Carver","Hennepin","TNR-Transit","School",118.818107182087
"Carver","Carver","Auto 3+ Person","Escort",22480.2069538651
"Hennepin","Hennepin","Auto 3+ Person","Maintenance",76696.4628094754
"Hennepin","Hennepin","Auto 3+ Person","Discretionary",60121.1209146163
"Washington","Washington","Auto 2 Person","Maintenance",50549.1604561185
"Washington","Washington","Auto 2 Person","Discretionary",15298.3537663156
"Washington","Washington","Auto 2 Person","Escort",37429.0317403815
"Dakota","Ramsey","Auto SOV","Work",19805.1870955278
"Ramsey","Dakota","Auto SOV","Work",20031.7519221377
"Dakota","Hennepin","Auto SOV","Work",42040.7039019555
"Ramsey","Ramsey","Auto 2 Person","Discretionary",42823.5940648317
"Ramsey","Ramsey","Auto 3+ Person","Discretionary",27509.8638029841
"Ramsey","Anoka","Auto 3+ Person","Discretionary",4399.42178395635
"Washington","Washington","Auto SOV","Work",86898.5082204696
"Ramsey","Hennepin","Auto SOV","University",4763.81519303449
"Hennepin","Ramsey","Auto SOV","University",5337.5231683722
"Ramsey","Anoka","Auto SOV","Work",30155.6609380022
"Anoka","Washington","Auto SOV","Work",7811.24096247132
"Ramsey","Ramsey","Auto SOV","Work-based",29019.1473960578
"Ramsey","Ramsey","Auto 2 Person","Work-based",9326.13069679978
"Ramsey","Anoka","Auto SOV","Work-based",2497.02171598242
"Anoka","Washington","Auto SOV","Work-based",1063.64992298383
"Washington","Washington","TNR-Transit","School",12728.4781138503
