"","PERTYPE","TOURPURP","dow_num","freq"
"152",7,5,4,2997.78185253985
"153",7,6,1,12680.6988573336
"154",7,6,2,9092.75225064905
"155",7,6,3,9747.91470147034
"156",7,6,4,17034.5795884195
"157",7,7,1,3595.90108113172
"158",7,7,2,2246.19697530253
"159",7,7,3,3043.91545580132
"160",7,7,4,2280.00518776779
"161",7,8,1,6486.474517117
"162",7,8,2,5108.26998585297
"163",7,8,3,2914.19632633653
"164",7,8,4,11175.309709744
"165",7,9,1,3998.54287701936
"166",7,9,2,8442.44109158199
"167",7,9,3,11134.3149601297
"168",7,9,4,9139.71354570884
"169",8,4,1,11957.7941144501
"170",8,4,2,17594.4527308892
"171",8,4,3,14586.2881888759
"172",8,4,4,17488.9819730612
"173",8,5,1,4000.25931901762
"174",8,5,2,1321.2732585093
"175",8,5,3,3837.62014517824
"176",8,5,4,6294.60706250544
"177",8,6,1,4240.33694592122
"178",8,6,2,3110.81096645028
"179",8,6,3,5882.99181700472
"180",8,6,4,2543.04820168773
"181",8,7,1,797.511771196297
"182",8,7,2,2316.19144246043
"183",8,7,3,1027.91217451212
"184",8,7,4,1745.35072967459
"185",8,8,1,1175.31745724268
"186",8,8,2,3276.85427504736
"187",8,8,3,2209.45839915158
"188",8,8,4,3110.9773738989
"189",8,9,1,2630.60383639559
"190",8,9,2,2077.60486722178
"191",8,9,3,4887.13170223534
"192",8,9,4,2814.60421605447
