"id","purpose","freq_dep","freq_arr","freq_dur"
26,"work",10704.7726440221,70202.3592503313,32660.99889655
27,"atwork",5430.16006972867,4420.38896166436,52.3162174651442
27,"esc",22425.9119804336,33161.3435955372,500.002681568388
27,"idisc",41552.9209030536,26710.7821577323,1168.01226158806
27,"imain",29348.0020322554,72874.4862035877,7282.53431392206
27,"jdisc",15079.1697720277,11376.2931947583,48.7007276613003
27,"jmain",10026.0390708028,7011.4059738732,0
27,"sch",3594.70325469616,41932.4465698446,2240.11435570531
27,"Total",130879.37670569,306958.985480908,27029.8650642575
27,"univ",61.7424606573464,714.570291759659,255.242930726809
27,"work",3360.72716203445,108757.268532151,15482.9415756205
28,"atwork",240.003440436956,4195.96738024622,0
28,"esc",30716.1263570419,29773.5669587621,1476.33768989336
28,"idisc",38681.5612250862,35884.1712826514,194.105169999443
28,"imain",28590.6525865561,68915.120001515,3951.44540566911
28,"jdisc",15039.9250963374,10475.5973335581,0
28,"jmain",11829.654784599,7785.22705315775,0
28,"sch",1659.90095687833,23624.5634638161,2271.3765859945
28,"Total",130191.69417806,297670.387918213,24726.8531763109
28,"univ",29.6974750695674,1053.88193007746,729.876871637752
28,"work",3404.17225605449,115962.292514429,16103.7114531167
29,"atwork",661.823670351592,2950.20360741887,0
29,"esc",19569.5631120689,34456.7352885341,307.826929103855
29,"idisc",55750.0188532343,29667.0275626294,842.659736158267
29,"imain",30879.7667234522,80656.7962390882,4265.20081470701
29,"jdisc",20066.937109379,8192.38370053453,0
29,"jmain",10923.253115453,8130.13439685176,0
29,"sch",3235.69679166637,29682.5884913559,333.588128447598
29,"Total",144152.576790904,327716.482199453,18175.5086468646
29,"univ",384.310193927227,445.911906122447,13.012386824976
29,"work",2681.20722137088,133534.701006918,12413.2206516229
30,"atwork",179.861764930621,836.606103147824,0
30,"esc",22087.1155016912,32193.6199252677,304.350430543977
30,"idisc",52242.3626926943,39016.1151870788,1076.41812757099
30,"imain",33751.5521526284,72257.6289594552,3135.60528385913
30,"jdisc",31377.1980865884,11535.6935237741,0
30,"jmain",15094.8545600668,9070.34530428978,0
30,"sch",1147.95913849448,15644.8725742031,54.1317247522538
30,"Total",160975.579997222,285107.950032881,16617.2573284338
30,"univ",979.363783591205,1782.58001495244,1023.79539321577
30,"work",4115.31231653695,102770.488440713,11022.9563684917
31,"atwork",363.572634038065,1251.99483814134,0
31,"esc",16230.1439072643,27249.0040156861,378.377666788657
31,"idisc",58243.1149707527,31734.431615865,302.393632907161
31,"imain",22938.2985564346,58861.8647087372,1819.51749186318
31,"jdisc",28845.5429070048,14923.8270612379,0
31,"jmain",9639.17003989598,10559.0845309228,0
31,"sch",1322.639727868,10530.2877801189,515.495064612247
31,"Total",140579.813160956,228675.298724439,7905.37036798475
31,"univ",932.383460626026,934.572211947978,0
31,"work",2064.94695707114,72630.2319617819,4889.5865118135
32,"atwork",250.683537480678,671.14137272009,0
32,"esc",18910.3892956614,21601.7213813521,75.7085416956518
32,"idisc",47633.0545524348,47540.5857042726,296.154663809099
32,"imain",22090.1191709933,43921.6429379324,1369.69578998373
32,"jdisc",24986.175879218,15108.1352808718,0
32,"jmain",11620.6494366088,9596.1786389986,0
32,"sch",569.500276075285,4965.37387276336,13.3679229419483
32,"Total",127414.116699086,190910.355246417,4653.34747920137
32,"univ",49.2734963590798,84.5724757304164,202.997104549302
32,"work",1304.27105425477,47421.0035817762,2695.42345622164
33,"atwork",359.544523722012,602.523860407529,0
33,"esc",9458.27058471627,20671.5800009649,32.763013868919
33,"idisc",20003.6740687089,46254.7210108772,49.8044406235749
33,"imain",17277.9006178829,39479.9986613663,1072.28732945941
33,"jdisc",14783.7531793591,22739.5150341957,0
33,"jmain",6121.92386501522,11306.1918802176,0
33,"sch",879.831602798494,5081.40754932055,682.345621085364
33,"Total",69539.5963515033,184980.022096273,2883.65895666889
33,"univ",0,699.015989459377,0
33,"work",654.697909300419,38145.068109464,1046.45855163163
34,"atwork",0,201.905814433197,0
34,"esc",9310.3029262926,16204.6988050907,0
34,"idisc",14452.0001896062,37011.6779044876,0
34,"imain",10046.6762898397,36955.4696205668,707.917811903779
34,"jdisc",7912.33147941426,27455.7090604075,0
34,"jmain",7886.98023587225,14582.9787803433,0
34,"sch",71.8931427081915,6290.04064158353,12.5130464803358
34,"Total",49780.7252484493,167598.177029076,2879.04631870268
34,"univ",0,1528.57173931529,0
34,"work",100.540984716067,27367.1246628478,2158.61546031857
35,"atwork",0,280.776604111592,0
35,"esc",7349.04760694363,20204.1869492361,0
35,"idisc",9244.19999838727,48764.637793974,247.435984686781
35,"imain",5503.66873208556,34159.1606781002,329.799647626194
35,"jdisc",6597.18863028477,22947.0462055532,0
