HH_ID,JTOUR_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,COMPOSITION,JOINT_PURP
18708234,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18708234,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
18708234,3,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18711941,1,3,3,4,5,nan,nan,nan,nan,nan,nan,3,5
18713367,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,8
18717614,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,9
18720680,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,9
18727082,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,9
18730642,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18730841,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18731736,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
18733290,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,1
18733342,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18733875,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18743720,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18749210,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18749493,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18750816,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18753465,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18755156,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,9
18769698,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18772860,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,9
18788545,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,5
18788545,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,1
18789503,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,8
18790542,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18792748,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,6
18796797,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,6
18799319,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,4
18801978,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18802846,1,3,3,4,5,nan,nan,nan,nan,nan,nan,2,3
18805139,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,3,4
18805139,2,2,3,4,nan,nan,nan,nan,nan,nan,nan,3,8
18809831,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
