HH_ID,PER_ID,PERSONTYPE,AGE,EMPLY,HOURS_CAT,EMP_CAT,STUDE,SCHOL,STU_CAT,PERSONTYPE0,EMP_CAT0,STU_CAT0,ERROR
19118204,2,5,10,3,,3,0,-9,3,,,,""
19118735,1,5,10,3,,3,0,-9,3,,,,""
19118735,2,5,10,3,,3,0,-9,3,,,,""
19119028,1,1,8,1,,1,0,-9,3,,,,""
19119028,2,1,7,1,,1,0,-9,3,,,,""
19119048,1,1,7,1,,1,0,-9,3,,,,""
19119048,2,2,6,2,,2,0,-9,3,,,,""
19119048,3,7,2,3,,4,1,3,1,,,,""
19119048,4,7,2,3,,4,1,3,1,,,,""
19119048,5,8,1,3,,4,1,2,1,,,,""
19119382,1,1,8,1,,1,0,-9,3,,,,""
19119610,1,1,7,1,,1,0,-9,3,,,,""
19119610,2,6,3,2,,2,1,6,1,,,,""
19119610,3,6,3,2,,2,1,6,1,,,,""
19119916,1,1,7,1,,1,0,-9,3,,,,""
19119916,2,1,7,1,,1,0,-9,3,,,,""
19120383,1,5,9,3,,3,0,-9,3,,,,""
19120822,1,5,10,3,,3,0,-9,3,,,,""
19121060,1,1,7,1,,1,0,-9,3,,,,""
19121060,2,2,7,2,,2,0,-9,3,,,,""
19121060,3,7,2,3,,4,1,3,1,,,,""
19121060,4,6,3,3,,3,1,4,1,,,,""
19121060,5,4,7,3,,3,0,-9,3,,,,""
19121087,1,1,5,1,,1,0,-9,3,,,,""
19121087,2,1,5,1,,1,0,-9,3,,,,""
19121087,3,7,2,3,,4,1,3,1,,,,""
19121087,4,8,1,3,,4,1,2,1,,,,""
19121179,1,1,5,1,,1,0,-9,3,,,,""
19121536,1,1,6,1,,1,0,-9,3,,,,""
19121536,2,1,6,1,,1,0,-9,3,,,,""
19121566,1,5,10,3,,3,0,-9,3,,,,""
19122412,1,1,8,1,,1,0,-9,3,,,,""
19122507,1,1,7,1,,1,0,-9,3,,,,""
19122507,2,1,7,1,,1,0,-9,3,,,,""
19122507,3,7,2,3,,4,1,3,1,,,,""
19122507,4,7,2,3,,4,1,4,1,,,,""
19122507,5,7,2,3,,4,1,3,1,,,,""
19122706,1,1,8,1,,1,0,-9,3,,,,""
19122706,2,1,6,1,,1,0,-9,3,,,,""
19122874,1,1,6,1,,1,0,-9,3,,,,""
19122874,2,1,6,1,,1,1,6,3,,,,""
19123027,1,1,6,1,,1,0,-9,3,,,,""
19123194,1,5,10,3,,3,0,-9,3,,,,""
19123194,2,5,10,3,,3,0,-9,3,,,,""
19123306,1,5,9,3,,3,0,-9,3,,,,""
19125117,1,1,7,1,,1,0,-9,3,,,,""
19125117,2,1,6,1,,1,1,7,3,,,,""
19125956,1,5,8,3,,3,0,-9,3,,,,""
19125956,2,5,10,3,,3,0,-9,3,,,,""
19126250,1,5,10,3,,3,0,-9,3,,,,""
19126404,1,1,7,1,,1,0,-9,3,,,,""
19126404,2,1,7,1,,1,0,-9,3,,,,""
19126404,3,7,2,3,,4,1,3,1,,,,""
19126404,4,7,2,3,,4,1,3,1,,,,""
19126753,1,1,6,1,,1,1,7,3,,,,""
19126753,2,1,5,1,,1,0,-9,3,,,,""
19127349,1,1,5,1,,1,1,8,3,,,,""
19127349,2,1,5,1,,1,0,-9,3,,,,""
19127349,3,8,1,3,,4,1,1,1,,,,""
19127349,4,8,1,3,,4,1,1,1,,,,""
19127421,1,5,9,3,,3,0,-9,3,,,,""
19127421,2,5,9,3,,3,0,-9,3,,,,""
19127755,1,5,10,3,,3,0,-9,3,,,,""
19127755,2,5,9,3,,3,0,-9,3,,,,""
19128027,1,5,10,3,,3,0,-9,3,,,,""
19128027,2,5,10,3,,3,0,-9,3,,,,""
19128034,1,1,8,1,,1,0,-9,3,,,,""
19128034,2,2,8,2,,2,0,-9,3,,,,""
19128036,1,5,10,3,,3,0,-9,3,,,,""
19128051,1,5,9,3,,3,0,-9,3,,,,""
19128051,2,5,10,3,,3,0,-9,3,,,,""
19128781,1,1,6,1,,1,0,-9,3,,,,""
19128781,2,6,4,2,,2,1,4,1,,,,""
19129124,1,5,9,3,,3,0,-9,3,,,,""
19129256,1,5,10,3,,3,0,-9,3,,,,""
19129654,1,2,6,2,,2,0,-9,3,,,,""
19129654,2,1,6,1,,1,0,-9,3,,,,""
19129654,3,7,2,3,,4,1,3,1,,,,""
19129654,4,8,1,3,,4,1,2,1,,,,""
19130534,1,5,9,3,,3,0,-9,3,,,,""
19130534,2,5,9,3,,3,0,-9,3,,,,""
19130793,1,5,8,3,,3,0,-9,3,,,,""
19130941,1,3,5,3,,3,1,8,2,,,,""
19131417,1,5,9,3,,3,0,-9,3,,,,""
19131417,2,5,9,3,,3,0,-9,3,,,,""
19131516,1,1,8,1,,1,0,-9,3,,,,""
19131516,2,3,4,2,,2,1,7,2,,,,""
19131520,1,2,9,2,,2,0,-9,3,,,,""
19131520,2,1,8,1,,1,0,-9,3,,,,""
19131551,1,1,5,1,,1,0,-9,3,,,,""
19131586,1,1,6,1,,1,0,-9,3,,,,""
19131586,2,1,6,1,,1,0,-9,3,,,,""
19131586,3,7,2,3,,4,1,3,1,,,,""
19131586,4,7,2,3,,4,1,2,1,,,,""
19131640,1,3,4,2,,2,1,7,2,,,,""
19131640,2,1,7,1,,1,0,-9,3,,,,""
19131640,3,3,4,2,,2,1,7,2,,,,""
19131640,4,7,2,3,,4,1,4,1,,,,""
19131766,1,1,7,1,,1,0,-9,3,,,,""
19131766,2,1,6,1,,1,0,-9,3,,,,""
19131766,3,7,2,3,,4,1,3,1,,,,""
19131766,4,1,6,1,,1,1,7,3,,,,""
19131766,5,7,2,3,,4,1,3,1,,,,""
19131766,6,3,4,2,,2,1,7,2,,,,""
19131766,7,3,4,2,,2,1,5,2,,,,""
19131766,8,7,2,3,,4,1,4,1,,,,""
19131911,1,3,5,3,,3,1,7,2,,,,""
19131911,2,1,5,1,,1,0,-9,3,,,,""
19131911,3,7,2,3,,4,1,3,1,,,,""
19132203,1,1,6,1,,1,0,-9,3,,,,""
19132303,1,5,10,3,,3,0,-9,3,,,,""
19132303,2,5,10,3,,3,0,-9,3,,,,""
19132765,1,1,5,1,,1,0,-9,3,,,,""
19132765,2,1,5,1,,1,0,-9,3,,,,""
19132765,3,8,1,3,,4,1,1,1,,,,""
19132765,4,8,1,3,,4,1,1,1,,,,""
19132881,1,5,8,3,,3,0,-9,3,,,,""
19132881,2,5,9,3,,3,0,-9,3,,,,""
19133143,1,1,6,1,,1,0,-9,3,,,,""
19133143,2,1,6,1,,1,0,-9,3,,,,""
19133143,3,7,2,3,,4,1,3,1,,,,""
19133143,4,7,2,3,,4,1,3,1,,,,""
19133338,1,1,7,1,,1,0,-9,3,,,,""
19133338,2,1,7,1,,1,0,-9,3,,,,""
19133644,1,5,10,3,,3,0,-9,3,,,,""
19133644,2,5,10,3,,3,0,-9,3,,,,""
19133936,1,1,6,1,,1,0,-9,3,,,,""
19133947,1,1,4,1,,1,0,-9,3,,,,""
19133993,1,1,7,1,,1,0,-9,3,,,,""
19133993,2,1,7,1,,1,0,-9,3,,,,""
19133993,3,7,2,3,,4,1,4,1,,,,""
19133993,4,7,2,3,,4,1,3,1,,,,""
19133993,5,7,2,3,,4,1,3,1,,,,""
19133993,6,7,2,3,,4,1,3,1,,,,""
19134126,1,1,5,1,,1,0,-9,3,,,,""
19134126,2,1,5,1,,1,0,-9,3,,,,""
19134452,1,5,9,3,,3,0,-9,3,,,,""
19134452,2,1,9,1,,1,0,-9,3,,,,""
19134452,3,1,6,1,,1,0,-9,3,,,,""
19134504,1,1,7,1,,1,0,-9,3,,,,""
19134504,2,2,8,2,,2,0,-9,3,,,,""
19134558,1,1,5,1,,1,0,-9,3,,,,""
19134558,2,7,2,3,,4,1,3,1,,,,""
19134558,3,7,2,3,,4,1,3,1,,,,""
19134558,4,8,1,3,,4,1,1,1,,,,""
19134558,5,1,6,1,,1,0,-9,3,,,,""
19134666,1,1,7,1,,1,0,-9,3,,,,""
19134666,2,5,8,3,,3,0,-9,3,,,,""
19135057,1,1,8,1,,1,0,-9,3,,,,""
19135097,1,1,5,1,,1,0,-9,3,,,,""
19135097,2,1,5,1,,1,0,-9,3,,,,""
19135097,3,8,1,3,,4,1,1,1,,,,""
19135255,1,1,7,1,,1,0,-9,3,,,,""
19135259,1,5,9,3,,3,0,-9,3,,,,""
19135259,2,5,8,3,,3,0,-9,3,,,,""
19135300,1,4,6,3,,3,0,-9,3,,,,""
19135300,2,1,5,1,,1,0,-9,3,,,,""
19135458,1,1,7,1,,1,0,-9,3,,,,""
19135458,2,4,7,3,,3,0,-9,3,,,,""
19135458,3,6,3,3,,3,1,4,1,,,,""
19135458,4,7,2,3,,4,1,4,1,,,,""
19135656,1,1,7,1,,1,0,-9,3,,,,""
19135725,1,5,8,3,,3,0,-9,3,,,,""
19135880,1,1,6,1,,1,0,-9,3,,,,""
19135880,2,1,6,1,,1,0,-9,3,,,,""
19135880,3,7,2,3,,4,1,3,1,,,,""
19135880,4,7,2,3,,4,1,3,1,,,,""
19135924,1,1,9,1,,1,1,8,3,,,,""
19136215,1,1,8,1,,1,0,-9,3,,,,""
19136215,2,6,4,3,,3,1,4,1,,,,""
19136447,1,1,7,1,,1,0,-9,3,,,,""
19136447,2,6,3,2,,2,1,4,1,,,,""
19136447,3,7,2,3,,4,1,4,1,,,,""
19136447,4,7,2,3,,4,1,3,1,,,,""
19136604,1,1,8,1,,1,0,-9,3,,,,""
19136604,2,1,8,1,,1,0,-9,3,,,,""
19136700,1,1,6,1,,1,0,-9,3,,,,""
19137502,1,5,10,3,,3,0,-9,3,,,,""
19137502,2,4,7,3,,3,0,-9,3,,,,""
19137502,3,6,4,3,,3,1,4,1,,,,""
19137890,1,1,8,1,,1,0,-9,3,,,,""
19137890,2,1,7,1,,1,0,-9,3,,,,""
19137890,3,3,4,3,,3,1,7,2,,,,""
19137972,1,1,6,1,,1,0,-9,3,,,,""
19137972,2,7,2,3,,4,1,3,1,,,,""
19138170,1,5,10,3,,3,0,-9,3,,,,""
19138172,1,4,7,3,,3,0,-9,3,,,,""
19138172,2,1,8,1,,1,0,-9,3,,,,""
19138172,3,1,4,1,,1,0,-9,3,,,,""
19138738,1,1,9,1,,1,0,-9,3,,,,""
19138738,2,1,8,1,,1,0,-9,3,,,,""
19138898,1,1,9,1,,1,0,-9,3,,,,""
19138918,1,2,7,2,,2,0,-9,3,,,,""
19138918,2,1,7,1,,1,0,-9,3,,,,""
19139004,1,5,9,3,,3,0,-9,3,,,,""
19139004,2,5,9,3,,3,0,-9,3,,,,""
19139463,1,2,5,2,,2,0,-9,3,,,,""
19139463,2,1,5,1,,1,0,-9,3,,,,""
19139463,3,7,2,3,,4,1,3,1,,,,""
19139463,4,8,1,3,,4,1,2,1,,,,""
19139463,5,8,1,3,,4,1,1,1,,,,""
19139463,6,8,1,3,,4,1,1,1,,,,""
19139631,1,1,7,1,,1,0,-9,3,,,,""
19139703,1,1,8,1,,1,0,-9,3,,,,""
19139703,2,1,7,1,,1,0,-9,3,,,,""
19139703,3,7,2,3,,4,1,3,1,,,,""
19139959,1,1,6,1,,1,0,-9,3,,,,""
19139959,2,4,6,3,,3,0,-9,3,,,,""
19139959,3,8,1,3,,4,1,3,1,,,,""
19139959,4,8,1,3,,4,1,3,1,,,,""
19139959,5,7,2,3,,4,1,3,1,,,,""
19139959,6,8,1,3,,4,1,3,1,,,,""
19139959,7,7,2,3,,4,1,3,1,,,,""
19140099,1,1,7,1,,1,0,-9,3,,,,""
19140144,1,4,6,3,,3,0,-9,3,,,,""
19140144,2,1,5,1,,1,0,-9,3,,,,""
19140144,3,7,2,3,,4,1,3,1,,,,""
19140144,4,8,1,3,,4,1,1,1,,,,""
19140196,1,5,9,3,,3,0,-9,3,,,,""
19140196,2,1,9,1,,1,0,-9,3,,,,""
19140308,1,1,5,1,,1,0,-9,3,,,,""
19140446,1,5,9,3,,3,0,-9,3,,,,""
19140512,1,1,7,1,,1,0,-9,3,,,,""
19140512,2,4,7,3,,3,0,-9,3,,,,""
19140512,3,7,2,3,,4,1,4,1,,,,""
19140888,1,1,6,1,,1,0,-9,3,,,,""
19140986,1,5,9,3,,3,0,-9,3,,,,""
19140986,2,5,10,3,,3,0,-9,3,,,,""
19141260,1,5,9,3,,3,0,-9,3,,,,""
19141698,1,1,4,1,,1,1,7,3,,,,""
19141698,2,1,5,1,,1,0,-9,3,,,,""
19142036,1,1,6,1,,1,0,-9,3,,,,""
19142036,2,1,6,1,,1,0,-9,3,,,,""
19142036,3,7,2,3,,4,1,4,1,,,,""
19142036,4,7,2,3,,4,1,3,1,,,,""
19142036,5,8,1,3,,4,1,1,1,,,,""
19142501,1,1,7,1,,1,0,-9,3,,,,""
19142501,2,5,10,3,,3,0,-9,3,,,,""
19142803,1,1,8,1,,1,0,-9,3,,,,""
19142862,1,2,7,2,,2,0,-9,3,,,,""
19142862,2,1,7,1,,1,0,-9,3,,,,""
19142862,3,6,3,2,,2,1,4,1,,,,""
19142910,1,1,7,1,,1,0,-9,3,,,,""
19142910,2,1,7,1,,1,0,-9,3,,,,""
19142910,3,3,4,2,,2,1,8,2,,,,""
19143041,1,1,8,1,,1,0,-9,3,,,,""
19143059,1,5,9,3,,3,0,-9,3,,,,""
19143059,2,5,9,3,,3,0,-9,3,,,,""
19143226,1,5,10,3,,3,0,-9,3,,,,""
19143226,2,5,10,3,,3,0,-9,3,,,,""
19143394,1,1,5,1,,1,0,-9,3,,,,""
19143394,2,1,6,1,,1,0,-9,3,,,,""
19144397,1,1,7,1,,1,0,-9,3,,,,""
19144397,2,1,5,1,,1,0,-9,3,,,,""
19144985,1,1,7,1,,1,0,-9,3,,,,""
19145396,1,2,8,2,,2,0,-9,3,,,,""
19145396,2,5,9,3,,3,0,-9,3,,,,""
19146373,1,1,7,1,,1,0,-9,3,,,,""
19147034,1,1,7,1,,1,0,-9,3,,,,""
19147034,2,4,6,3,,3,0,-9,3,,,,""
19147066,1,4,5,3,,3,0,-9,3,,,,""
19147066,2,1,6,1,,1,0,-9,3,,,,""
19147066,3,8,1,3,,4,1,2,1,,,,""
19147066,4,8,1,3,,4,1,1,1,,,,""
19147066,5,2,9,2,,2,0,-9,3,,,,""
19147066,6,5,8,3,,3,0,-9,3,,,,""
19147262,1,5,8,3,,3,0,-9,3,,,,""
19147262,2,1,8,1,,1,0,-9,3,,,,""
19147262,3,1,5,1,,1,0,-9,3,,,,""
19147472,1,2,9,2,,2,0,-9,3,,,,""
19147531,1,1,7,1,,1,0,-9,3,,,,""
19147612,1,1,9,1,,1,0,-9,3,,,,""
19147612,2,1,8,1,,1,0,-9,3,,,,""
19147646,1,1,5,1,,1,1,6,3,,,,""
19147646,2,1,5,1,,1,0,-9,3,,,,""
19147679,1,4,7,3,,3,0,-9,3,,,,""
19148427,1,1,9,1,,1,0,-9,3,,,,""
19148427,2,1,9,1,,1,0,-9,3,,,,""
19148433,1,1,5,1,,1,0,-9,3,,,,""
19148433,2,4,6,3,,3,0,-9,3,,,,""
19148433,3,7,2,3,,4,1,3,1,,,,""
19148433,4,7,2,3,,4,1,3,1,,,,""
19148433,5,7,2,3,,4,1,97,1,,,,""
19148433,6,8,1,3,,4,1,1,1,,,,""
19148860,1,1,5,1,,1,0,-9,3,,,,""
19148860,2,1,6,1,,1,0,-9,3,,,,""
19149167,1,1,6,1,,1,0,-9,3,,,,""
19149167,2,1,7,1,,1,0,-9,3,,,,""
19149356,1,1,4,1,,1,0,-9,3,,,,""
19149494,1,1,8,1,,1,0,-9,3,,,,""
19149494,2,1,8,1,,1,0,-9,3,,,,""
19150301,1,5,8,3,,3,0,-9,3,,,,""
19150301,2,7,2,3,,4,1,3,1,,,,""
19150301,3,7,2,3,,4,1,3,1,,,,""
19150398,1,1,7,1,,1,0,-9,3,,,,""
19150398,2,1,7,1,,1,0,-9,3,,,,""
19150398,3,7,2,3,,4,1,3,1,,,,""
19150398,4,7,2,3,,4,1,3,1,,,,""
19150398,5,7,2,3,,4,1,3,1,,,,""
19150407,1,1,7,1,,1,0,-9,3,,,,""
19150407,2,2,7,2,,2,0,-9,3,,,,""
19150407,3,6,3,2,,2,1,4,1,,,,""
19150407,4,7,2,3,,4,1,4,1,,,,""
19150407,5,7,2,3,,4,1,3,1,,,,""
19150407,6,6,3,3,,3,1,4,1,,,,""
19150746,1,1,5,1,,1,0,-9,3,,,,""
19150746,2,1,5,1,,1,0,-9,3,,,,""
19150746,3,8,1,3,,4,1,1,1,,,,""
19151142,1,5,10,3,,3,0,-9,3,,,,""
19151142,2,5,10,3,,3,0,-9,3,,,,""
19151546,1,4,6,3,,3,0,-9,3,,,,""
19151546,2,1,7,1,,1,0,-9,3,,,,""
19151546,3,7,2,3,,4,1,3,1,,,,""
19151671,1,1,6,1,,1,0,-9,3,,,,""
19151671,2,7,2,3,,4,1,3,1,,,,""
19151671,3,8,1,3,,4,1,1,1,,,,""
19151969,1,4,7,3,,3,0,-9,3,,,,""
19151969,2,1,8,1,,1,0,-9,3,,,,""
19152115,1,1,6,1,,1,0,-9,3,,,,""
19152115,2,1,5,1,,1,0,-9,3,,,,""
19152115,3,7,2,3,,4,1,2,1,,,,""
19152115,4,8,1,3,,4,1,1,1,,,,""
19152151,1,1,6,1,,1,0,-9,3,,,,""
19152151,2,6,3,2,,2,1,4,1,,,,""
19152252,1,2,6,2,,2,0,-9,3,,,,""
19152252,2,1,6,1,,1,0,-9,3,,,,""
19152377,1,1,5,1,,1,1,7,3,,,,""
19153070,1,5,8,3,,3,0,-9,3,,,,""
19153220,1,5,8,3,,3,0,-9,3,,,,""
19153220,2,1,8,1,,1,0,-9,3,,,,""
19153220,3,2,5,2,,2,0,-9,3,,,,""
19153240,1,1,7,1,,1,0,-9,3,,,,""
19153383,1,1,8,1,,1,0,-9,3,,,,""
19153383,2,1,8,1,,1,0,-9,3,,,,""
19153540,1,1,8,1,,1,0,-9,3,,,,""
19153540,2,2,8,2,,2,0,-9,3,,,,""
19153830,1,1,7,1,,1,0,-9,3,,,,""
19153830,2,1,8,1,,1,0,-9,3,,,,""
19153830,3,7,2,3,,4,1,4,1,,,,""
19154287,1,1,6,1,,1,0,-9,3,,,,""
19154475,1,1,6,1,,1,0,-9,3,,,,""
19154475,2,1,6,1,,1,0,-9,3,,,,""
19154475,3,7,2,3,,4,1,3,1,,,,""
19154475,4,7,2,3,,4,1,3,1,,,,""
19154618,1,1,6,1,,1,0,-9,3,,,,""
19154618,2,1,6,1,,1,0,-9,3,,,,""
19154618,3,7,2,3,,4,1,3,1,,,,""
19154618,4,7,2,3,,4,1,3,1,,,,""
19155018,1,1,7,1,,1,1,8,3,,,,""
19155018,2,1,7,1,,1,0,-9,3,,,,""
19155018,3,7,2,3,,4,1,3,1,,,,""
19155018,4,7,2,3,,4,1,3,1,,,,""
19155158,1,1,8,1,,1,0,-9,3,,,,""
19155526,1,1,6,1,,1,0,-9,3,,,,""
19155761,1,3,5,2,,2,1,8,2,,,,""
19155770,1,1,7,1,,1,0,-9,3,,,,""
19155770,2,7,2,3,,4,1,3,1,,,,""
19155770,3,7,2,3,,4,1,3,1,,,,""
19155897,1,1,8,1,,1,0,-9,3,,,,""
19156319,1,5,9,3,,3,0,-9,3,,,,""
19156319,2,2,9,2,,2,0,-9,3,,,,""
19156433,1,1,5,1,,1,0,-9,3,,,,""
19156433,2,1,5,1,,1,0,-9,3,,,,""
19156433,3,7,2,3,,4,1,3,1,,,,""
19156433,4,8,1,3,,4,1,1,1,,,,""
19157934,1,5,10,3,,3,0,-9,3,,,,""
19157934,2,5,10,3,,3,0,-9,3,,,,""
19158466,1,1,5,1,,1,0,-9,3,,,,""
19158956,1,1,6,1,,1,0,-9,3,,,,""
19158956,2,1,5,1,,1,0,-9,3,,,,""
19159061,1,1,7,1,,1,0,-9,3,,,,""
19159061,2,2,7,2,,2,0,-9,3,,,,""
19159061,3,7,2,3,,4,1,4,1,,,,""
19159061,4,6,3,2,,2,1,4,1,,,,""
19159336,1,5,9,3,,3,0,-9,3,,,,""
19159336,2,1,9,1,,1,0,-9,3,,,,""
19159341,1,5,8,3,,3,0,-9,3,,,,""
19159384,1,5,9,3,,3,0,-9,3,,,,""
